schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_1p000,modified_mad__threshold_1p000,tuning,modified_mad,COUNTRY_4,by_country,ok,,57.82375260000117,720717,45050,191740,0.15670075449343823,0.8971203559389003,0.2667631002144527,coarse,1,0.2667631002144527,0.6435987494904385,0.2,0.524284128745838,0.0,0.16522943037974683,0.0,0.9271920088790233,0.0,0.2804767500419674,0.0,0.6667862829542329,0.0,0.4608949619276103,0.0,0.13680051075871827,0.0,0.8269531657452801,0.0,0.2347645839502517,0.0,0.5894945047415847,0.0,1.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_2p000,modified_mad__threshold_2p000,tuning,modified_mad,COUNTRY_4,by_country,ok,,62.76045699999668,720717,45050,191740,0.20897716119460202,0.8858761373007078,0.3379362247743285,coarse,1,0.3379362247743285,0.7431376567987584,0.0,0.675826859045505,0.0,0.2244775467888907,0.0,0.9132075471698113,0.0,0.36037140854940436,0.0,0.770119316758148,0.0,0.5886930218003547,0.0,0.17280959480792843,0.0,0.8221028476061333,0.0,0.2855874626324848,0.0,0.6801804502268495,0.0,2.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_3p000,modified_mad__threshold_3p000,tuning,modified_mad,COUNTRY_4,by_country,ok,,65.550301999785,720717,45050,191740,0.25057936593379226,0.8612274471754493,0.3878541154387946,coarse,1,0.3878541154387946,0.7821806500773275,0.2,0.7481021087680355,0.0,0.26914513190742867,0.0,0.8854605993340733,0.0,0.41281175618337995,0.0,0.8055439116905374,0.0,0.6726869719411703,0.0,0.2072592453286407,0.0,0.8046834254719933,0.0,0.3296196203680955,0.0,0.727666372979838,0.0,3.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_4p000,modified_mad__threshold_4p000,tuning,modified_mad,COUNTRY_4,by_country,ok,,65.48775950004347,720717,45050,191740,0.2781328245093666,0.8307135923403489,0.41625182182760107,coarse,1,0.41625182182760107,0.7930949555044932,0.4,0.7854384017758047,0.0,0.2988227956653933,0.0,0.8508324084350721,0.0,0.4423032540964689,0.0,0.8136917709741606,0.0,0.7157713570459998,0.0,0.22985622514530438,0.0,0.7837696881193282,0.0,0.3554651465335762,0.0,0.7450357194086026,0.0,4.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_5p000,modified_mad__threshold_5p000,tuning,modified_mad,COUNTRY_4,by_country,ok,,66.60860379994847,720717,45050,191740,0.303807921436216,0.8022029901525685,0.44009237634679477,coarse,1,0.44009237634679477,0.7974109711956419,0.6,0.8129633740288569,0.0,0.3265504733256658,0.0,0.8193118756936737,0.0,0.4669787449392714,0.0,0.8157773061323998,0.0,0.7484458120371337,0.0,0.25074196702749996,0.0,0.7622822572233232,0.0,0.3773575162976828,0.0,0.75455618967654,0.0,5.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_6p000,modified_mad__threshold_6p000,tuning,modified_mad,COUNTRY_4,by_country,ok,,67.69019160000607,720717,45050,191740,0.3207779056441074,0.7728863389854486,0.4525420821412236,coarse,1,0.4525420821412236,0.7935750578139728,0.8,0.829811320754717,0.0,0.3456958813195393,0.0,0.786237513873474,0.0,0.4802386278896347,0.0,0.8100835670143739,0.0,0.7659278189214561,0.0,0.26263596240143305,0.0,0.7417335975800563,0.0,0.3879168087282646,0.0,0.7550552030130367,0.0,6.0
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_4p500,modified_mad__threshold_4p500,tuning,modified_mad,COUNTRY_4,by_country,ok,,68.37736969999969,720717,45050,191740,0.29152461241037386,0.8159608501477271,0.42901241690052416,refine,1,0.42901241690052416,0.7959655506339339,0.5,0.8005993340732519,0.0,0.31335445148382796,0.0,0.8344062153163152,0.0,0.45560875098478876,0.0,0.8154083415435857,0.0,0.7333211640763534,0.0,0.24058832123898116,0.0,0.7729216647543549,0.0,0.36695430403724016,0.0,0.7505990385114132,0.0,4.5
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_4p750,modified_mad__threshold_4p750,tuning,modified_mad,COUNTRY_4,by_country,ok,,67.64092919998802,720717,45050,191740,0.2997170962116536,0.8088337390845701,0.4367933594274869,refine,1,0.4367933594274869,0.7978425721908566,0.55,0.8084794672586015,0.0,0.32180828075028095,0.0,0.8264150943396227,0.0,0.46323254945875336,0.0,0.81639005137858,0.0,0.7441744028371753,0.0,0.24817099895485656,0.0,0.7678105768227809,0.0,0.3751019160211986,0.0,0.7545651207528354,0.0,4.75
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_5p250,modified_mad__threshold_5p250,tuning,modified_mad,COUNTRY_4,by_country,ok,,67.1981730000116,720717,45050,191740,0.3081768074350197,0.7961155419143593,0.44367602020456487,refine,1,0.44367602020456487,0.7971656218217746,0.65,0.8175360710321865,0.0,0.33176342722579477,0.0,0.8130965593784684,0.0,0.47124662292551145,0.0,0.8155592253422403,0.0,0.7524564514446647,0.0,0.2531413612565445,0.0,0.7564931678314384,0.0,0.37934461385568957,0.0,0.7542472136073548,0.0,5.25
phase2.v1,1-6coarse_grid_single_attempt_batch,modified_mad__threshold_5p500,modified_mad__threshold_5p500,tuning,modified_mad,COUNTRY_4,by_country,ok,,67.07542019989341,720717,45050,191740,0.3138866146657031,0.7868432835483955,0.4480304530373404,refine,1,0.4480304530373404,0.7962152418351982,0.7,0.8229966703662597,0.0,0.3378517341310648,0.0,0.802219755826859,0.0,0.4754637547691093,0.0,0.8136806186729862,0.0,0.7590852195681652,0.0,0.2579680025798592,0.0,0.7509648482319808,0.0,0.38401941566321296,0.0,0.7554626958803597,0.0,5.5
