run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_2p000__w_0p500__attempt_01,hybrid_weighted__threshold_2p000__w_0p500,new_products,hybrid_weighted,0.6506179300350228,0.18473282442748093,0.7306763285024155,0.6417229503063917,0.29490616621983917,0.6847567226728134,5445,24030,2007,43041,74523,7452,29475,1,42,2.0,0.5,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_prices,hybrid_weighted,0.7191615710253998,0.23564798899965625,0.8062334607468392,0.709488812673526,0.36470040566602385,0.7563158208069846,2742,8894,659,21721,34016,3401,11636,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_products,hybrid_weighted,0.6521879151402923,0.18538330494037478,0.7301395598497048,0.6435270086922813,0.29569045160589097,0.6854666489902914,5441,23909,2011,43162,74523,7452,29350,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_prices,hybrid_weighted,0.7212488240827846,0.23700371940143586,0.8056453984122317,0.7118732647395067,0.36626119502740273,0.7573093291318126,2740,8821,661,21794,34016,3401,11561,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_products,hybrid_weighted,0.653019873059324,0.18564694630413991,0.7293344068706388,0.6445408596860044,0.29595948595077326,0.6856280519370423,5435,23841,2017,43230,74523,7452,29276,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p800__attempt_01,hybrid_weighted__threshold_2p000__w_0p800,new_prices,hybrid_weighted,0.7238064440263405,0.23861852433281006,0.8044692737430168,0.7148456638902498,0.3680634963341629,0.7583346042929426,2736,8730,665,21885,34016,3401,11466,1,42,2.0,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p800__attempt_01,hybrid_weighted__threshold_2p000__w_0p800,new_products,hybrid_weighted,0.6540531111200569,0.18607200356249787,0.7289318303811058,0.6457336255609727,0.2964660936007641,0.6860727320181056,5432,23761,2020,43310,74523,7452,29193,1,42,2.0,0.8,coarse
hybrid_weighted__threshold_3p000__w_0p300__attempt_01,hybrid_weighted__threshold_3p000__w_0p300,new_prices,hybrid_weighted,0.7703139698965192,0.27452984464431723,0.7897677153778301,0.7681528662420383,0.40743268866135757,0.7788853151991675,2686,7098,715,23517,34016,3401,9784,1,42,3.0,0.3,coarse
hybrid_weighted__threshold_3p000__w_0p300__attempt_01,hybrid_weighted__threshold_3p000__w_0p300,new_products,hybrid_weighted,0.716060813440146,0.21932841932841932,0.7187332259796028,0.71576389199505,0.3360943775100401,0.7172470223941806,5356,19064,2096,48007,74523,7452,24420,1,42,3.0,0.3,coarse
hybrid_weighted__threshold_3p000__w_0p400__attempt_01,hybrid_weighted__threshold_3p000__w_0p400,new_prices,hybrid_weighted,0.7720190498588899,0.27593659942363113,0.7882975595413114,0.7702106810387065,0.40878249599756045,0.7792016428341664,2681,7035,720,23580,34016,3401,9716,1,42,3.0,0.4,coarse
