detector_family,granularity,dataset_name,scope_id,full_mh_values,full_mh_count,subset_target_mh_values,subset_available_mh_values,subset_available_mh_count,candidate_count_full,candidate_count_subset,max_support_count_full,max_support_count_subset,full_best_candidate_id,full_best_configuration_json,full_best_support_count,subset_best_candidate_id,subset_best_configuration_json,subset_best_support_count,config_match,equal_support_full_best_candidate_id,equal_support_full_best_configuration_json,equal_support_full_best_support_count,equal_support_subset_best_candidate_id,equal_support_subset_best_configuration_json,equal_support_subset_best_support_count,equal_support_config_match,rank_score_spearman,full_best_mean_rank_score,subset_choice_mean_rank_score_on_full,rank_score_regret,full_best_mean_combined_f1,subset_choice_mean_combined_f1_on_full,combined_f1_regret,full_best_mean_new_prices_f1,subset_choice_mean_new_prices_f1_on_full,new_prices_f1_regret,full_best_mean_new_prices_g_mean,subset_choice_mean_new_prices_g_mean_on_full,new_prices_g_mean_regret,full_best_mean_new_products_f1,subset_choice_mean_new_products_f1_on_full,new_products_f1_regret,full_best_mean_new_products_g_mean,subset_choice_mean_new_products_g_mean_on_full,new_products_g_mean_regret,equal_support_full_best_mean_rank_score,equal_support_subset_choice_mean_rank_score_on_full,equal_support_rank_score_regret,equal_support_full_best_mean_combined_f1,equal_support_subset_choice_mean_combined_f1_on_full,equal_support_combined_f1_regret
standard_zscore,by_country,COUNTRY_1,COUNTRY_1/COUNTRY_1_2026-02-08,"mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14,mh15,mh16,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26,mh27,mh28,mh29,mh30",26,"mh5,mh10,mh15,mh20,mh25,mh30","mh5,mh10,mh15,mh20,mh25,mh30",6,10,10,26,6,standard_zscore__threshold_3p250,"{""threshold"": 3.25}",15,standard_zscore__threshold_3p250,"{""threshold"": 3.25}",3,True,standard_zscore__threshold_3p000,"{""threshold"": 3.0}",26,standard_zscore__threshold_3p000,"{""threshold"": 3.0}",6,True,0.9999999999999999,0.8035731699877339,0.8035731699877339,0.0,0.5511527340192556,0.5511527340192556,0.0,0.6045561752171464,0.6045561752171464,0.0,0.8478370611084354,0.8478370611084354,0.0,0.42654470455751015,0.42654470455751015,0.0,0.7002907573727637,0.7002907573727637,0.0,0.7633671177261506,0.7633671177261506,0.0,0.527923268137579,0.527923268137579,0.0
standard_zscore,by_country,COUNTRY_2,COUNTRY_2/COUNTRY_2_2026-02-08,"mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14,mh15,mh16,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26,mh27,mh28,mh29,mh30",26,"mh5,mh10,mh15,mh20,mh25,mh30","mh5,mh10,mh15,mh20,mh25,mh30",6,10,10,26,6,standard_zscore__threshold_3p250,"{""threshold"": 3.25}",16,standard_zscore__threshold_3p250,"{""threshold"": 3.25}",4,True,standard_zscore__threshold_2p750,"{""threshold"": 2.75}",26,standard_zscore__threshold_2p750,"{""threshold"": 2.75}",6,True,0.9636363636363635,0.8629775104060176,0.8629775104060176,0.0,0.6394465878430893,0.6394465878430893,0.0,0.7120205111690485,0.7120205111690485,0.0,0.915786168625295,0.915786168625295,0.0,0.47010743341585104,0.47010743341585104,0.0,0.7397573078943702,0.7397573078943702,0.0,0.8614085091822601,0.8614085091822601,0.0,0.621855648944075,0.621855648944075,0.0
standard_zscore,by_country,COUNTRY_3,COUNTRY_3/COUNTRY_3_2026-02-08,"mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14,mh15,mh16,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26,mh27,mh28,mh29,mh30",26,"mh5,mh10,mh15,mh20,mh25,mh30","mh5,mh10,mh15,mh20,mh25,mh30",6,10,10,26,6,standard_zscore__threshold_2p750,"{""threshold"": 2.75}",26,standard_zscore__threshold_2p750,"{""threshold"": 2.75}",6,True,standard_zscore__threshold_2p750,"{""threshold"": 2.75}",26,standard_zscore__threshold_2p750,"{""threshold"": 2.75}",6,True,0.9393939393939393,0.8610389520308038,0.8610389520308038,0.0,0.6387928835935954,0.6387928835935954,0.0,0.7253211229274545,0.7253211229274545,0.0,0.9229217433707007,0.9229217433707007,0.0,0.43689365848125755,0.43689365848125755,0.0,0.7166457722377113,0.7166457722377113,0.0,0.8610389520308038,0.8610389520308038,0.0,0.6387928835935954,0.6387928835935954,0.0
standard_zscore,by_country,COUNTRY_4,COUNTRY_4/COUNTRY_4_2026-02-08,"mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14,mh15,mh16,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26,mh27,mh28,mh29,mh30",26,"mh5,mh10,mh15,mh20,mh25,mh30","mh5,mh10,mh15,mh20,mh25,mh30",6,9,9,26,6,standard_zscore__threshold_3p000,"{""threshold"": 3.0}",26,standard_zscore__threshold_3p000,"{""threshold"": 3.0}",6,True,standard_zscore__threshold_3p000,"{""threshold"": 3.0}",26,standard_zscore__threshold_3p000,"{""threshold"": 3.0}",6,True,1.0,0.8833934115338997,0.8833934115338997,0.0,0.6352032438241195,0.6352032438241195,0.0,0.7036364105742088,0.7036364105742088,0.0,0.928548700730948,0.928548700730948,0.0,0.475525854740578,0.475525854740578,0.0,0.778031070074121,0.778031070074121,0.0,0.8833934115338997,0.8833934115338997,0.0,0.6352032438241195,0.6352032438241195,0.0
