detector,evaluated_combinations,best_at_3_count,best_at_3_share,mean_weighted_f1_at_1,mean_weighted_f1_at_3,mean_weighted_g_mean_at_1,mean_weighted_g_mean_at_3,mean_delta_1_to_3,mean_delta_2p5_to_3,positive_delta_2p5_to_3,available_delta_2p5_to_3
hybrid_avg,17,15,0.8823529411764706,0.26167593673347617,0.37817074734620915,0.6233573116235434,0.7084493249686301,0.11649481061273295,0.021180017227067,17,17
hybrid_max,17,16,0.9411764705882353,0.2555219315853381,0.37017495449249443,0.6155519178845923,0.7062350265894332,0.11465302290715636,0.021883522670544574,17,17
hybrid_weighted,16,14,0.875,0.26586106670228826,0.3835372808084778,0.6280519716894848,0.7114524444017594,0.1176762141061895,0.02010128375697401,16,16
modified_mad,17,12,0.7058823529411765,0.2672316174669011,0.3836558598807387,0.6298241367369258,0.7084760167056053,0.11642424241383752,0.019035600970022867,17,17
modified_sn,17,16,0.9411764705882353,0.2569879277608134,0.3732048631877009,0.6173457820587429,0.7076273043180068,0.11621693542688752,0.022397861746959513,17,17
