schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_1p000,hybrid_avg__threshold_1p000,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,40.165477599948645,257617,34016,74523,0.16570783513562587,0.7904298891914426,0.27394351647453574,coarse,1,0.27394351647453574,0.6632863095449949,0.2,0.5947495296331138,0.0,0.17407407407407408,0.0,0.8153484269332549,0.0,0.2868966944286379,0.0,0.6818702326130834,0.0,0.545549696066986,0.0,0.14618661094591337,0.0,0.7322866344605475,0.0,0.24371943458163062,0.0,0.6199238223861218,0.0,1.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_2p000,hybrid_avg__threshold_2p000,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,44.0182159000542,257617,34016,74523,0.21912519305251743,0.7837721428906246,0.3422854651997257,coarse,1,0.3422854651997257,0.7338220373427875,0.0,0.716486359360301,0.0,0.23386477960610452,0.0,0.8065274919141429,0.0,0.36259087904824855,0.0,0.754850029344205,0.0,0.6506179300350228,0.0,0.18473282442748093,0.0,0.7306763285024155,0.0,0.29490616621983917,0.0,0.6847567226728134,0.0,2.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_3p000,hybrid_avg__threshold_3p000,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,46.48182620014995,257617,34016,74523,0.26093187180292904,0.7657907520805901,0.38896028806203964,coarse,1,0.38896028806203964,0.7613023046342381,0.2,0.7746060677328316,0.0,0.27818219633943425,0.0,0.786533372537489,0.0,0.4110009986940155,0.0,0.7798790733083176,0.0,0.7184090817599935,0.0,0.22068111455108358,0.0,0.717391304347826,0.0,0.337531963254096,0.0,0.7179565110613862,0.0,3.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_4p000,hybrid_avg__threshold_4p000,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,46.299193300073966,257617,34016,74523,0.2893347540170882,0.7428117902236766,0.41610028781056163,coarse,1,0.41610028781056163,0.7685983220929045,0.4,0.8054738946378175,0.0,0.30838894184938037,0.0,0.760952660982064,0.0,0.4389044348342237,0.0,0.7852967905270083,0.0,0.7540490855172228,0.0,0.24487498240840644,0.0,0.7004830917874396,0.0,0.3628906114220168,0.0,0.7296352290799958,0.0,4.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_5p000,hybrid_avg__threshold_5p000,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,47.568816900020465,257617,34016,74523,0.3120125610276402,0.7149293733348295,0.4339386185623992,coarse,1,0.4339386185623992,0.7669442757439426,0.6,0.8270225776105362,0.0,0.33342278277203813,0.0,0.7306674507497795,0.0,0.4578957066519255,0.0,0.7823679202347394,0.0,0.7768474162339144,0.0,0.2620553769573784,0.0,0.6782071926999463,0.0,0.3780387463535044,0.0,0.7309557719320835,0.0,5.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_6p000,hybrid_avg__threshold_6p000,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,45.95409570005722,257617,34016,74523,0.3270387411964705,0.6930379125018169,0.4437985494911642,coarse,1,0.4437985494911642,0.7627264437830837,0.8,0.839428504233302,0.0,0.3501090909090909,0.0,0.7077330197000882,0.0,0.46847022187621645,0.0,0.7774608534250883,0.0,0.7906418152785046,0.0,0.2732079252003562,0.0,0.6587493290391842,0.0,0.3862313139260425,0.0,0.7283461546184068,0.0,6.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_3p500,hybrid_avg__threshold_3p500,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,46.0251861999277,257617,34016,74523,0.27800855433461347,0.7518180808808246,0.4055983101329961,refine,1,0.4055983101329961,0.7662883541165812,0.3,0.7939499059266227,0.0,0.29615819209039546,0.0,0.7706556895030874,0.0,0.4278834380866868,0.0,0.783489800814584,0.0,0.7412074124766851,0.0,0.23565939957112222,0.0,0.7078636607622115,0.0,0.3535996782410511,0.0,0.7261516451545749,0.0,3.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_3p750,hybrid_avg__threshold_3p750,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,48.12202419992536,257617,34016,74523,0.2833892460241001,0.7466192215891793,0.41050742784841027,refine,1,0.41050742784841027,0.7671455125516808,0.35,0.7996237064910631,0.0,0.3018911706694512,0.0,0.7650690973243164,0.0,0.4329450915141431,0.0,0.7840307511289195,0.0,0.7478362384767119,0.0,0.24021808851828094,0.0,0.703569511540526,0.0,0.35815287929503375,0.0,0.7277466225381244,0.0,3.75
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_4p250,hybrid_avg__threshold_4p250,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,47.59484770009294,257617,34016,74523,0.29899983355873566,0.7347495597818393,0.4246385261360643,refine,1,0.4246385261360643,0.769824900386912,0.45,0.8146754468485419,0.0,0.31903752649295597,0.0,0.7524257571302558,0.0,0.4480826475223253,0.0,0.7862480665679564,0.0,0.7637776256994485,0.0,0.2522452167122218,0.0,0.6935050993022007,0.0,0.3699355762347888,0.0,0.7315041792978085,0.0,4.25
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_avg__threshold_4p500,hybrid_avg__threshold_4p500,tuning,hybrid_avg,COMPETITOR_1_COUNTRY_4,by_competitor,ok,,47.46175240003504,257617,34016,74523,0.30300857732166087,0.7278638683043397,0.4274689605520539,refine,1,0.4274689605520539,0.7687667933001601,0.5,0.8185853715898401,0.0,0.3232065356139903,0.0,0.744486915613055,0.0,0.4507343124165554,0.0,0.7845727362115277,0.0,0.7685278370435973,0.0,0.2558800079728922,0.0,0.6890767579173376,0.0,0.3731831395348837,0.0,0.7318862598403024,0.0,4.5
