detector_family,detector_label,scope_count,mean_best_f1,median_best_f1,min_best_f1,max_best_f1,mean_best_g_mean,median_best_g_mean,min_best_g_mean,max_best_g_mean,mean_training_time_sec,median_training_time_sec,max_training_time_sec
eif,Extended Isolation Forest,17,0.2588028169380953,0.25800312139183335,0.18754187203625405,0.3549101422681125,0.5692552415553647,0.5940877622656926,0.493507173775776,0.6369609291164855,2320.469789411765,1544.840307,10912.502757
if,Isolation Forest,17,0.6193208761317397,0.6183514410804833,0.5231963051305881,0.6993802709433822,0.88004245212512,0.8823996264453955,0.8324583659384774,0.9156204858048127,9.967365294117647,7.297676,48.289223
rrcf,Robust Random Cut Forest,17,0.22747548418037938,0.224407245462459,0.19165425750887485,0.2822725953851719,0.5751501919992692,0.5771799536783971,0.5201341594293509,0.6352137706263986,6647.9476552352935,4883.812888,23626.38317
