detector_family,detector_label,granularity,scope_count,mean_best_f1,median_best_f1,min_best_f1,max_best_f1,mean_best_g_mean,median_best_g_mean,min_best_g_mean,max_best_g_mean,mean_training_time_sec,median_training_time_sec,max_training_time_sec
eif,Extended Isolation Forest,global,1,0.2188779548335867,0.2188779548335867,0.2188779548335867,0.2188779548335867,0.503769831879813,0.503769831879813,0.503769831879813,0.503769831879813,10912.502757,10912.502757,10912.502757
eif,Extended Isolation Forest,by_country,4,0.24888712095709917,0.23855740601028763,0.21541886745940242,0.303014804348419,0.5453232960026105,0.5432625139050862,0.49919674331152564,0.5955714128887443,3530.11243825,3931.0555265000003,4517.652219
eif,Extended Isolation Forest,by_competitor,12,0.2654351207738031,0.2667277688595866,0.18754187203625405,0.3549101422681125,0.5826896742125787,0.5985720365298985,0.493507173775776,0.6369609291164855,1201.2528258333334,1297.4327185000002,3045.763441
if,Isolation Forest,global,1,0.5711319434939917,0.5711319434939917,0.5711319434939917,0.5711319434939917,0.8486036044980119,0.8486036044980119,0.8486036044980119,0.8486036044980119,48.289223,48.289223,48.289223
if,Isolation Forest,by_country,4,0.5782590816361625,0.5931884069500932,0.5231963051305881,0.6034632075138755,0.862154791706411,0.860705444561451,0.8324583659384774,0.8947499117642643,15.671339,11.225911,30.206014
if,Isolation Forest,by_competitor,12,0.6370238853500777,0.6395445988593622,0.5561972724719393,0.6993802709433822,0.8886249095669486,0.8876916793238643,0.8550727488362483,0.9156204858048127,4.872552583333333,5.572497,9.725629
rrcf,Robust Random Cut Forest,global,1,0.20056998453687475,0.20056998453687475,0.20056998453687475,0.20056998453687475,0.5459871773646214,0.5459871773646214,0.5459871773646214,0.5459871773646214,23626.38317,23626.38317,23626.38317
rrcf,Robust Random Cut Forest,by_country,4,0.20561283508281603,0.19973191940003962,0.19165425750887485,0.23133324402231004,0.5481191940691792,0.5372365265603948,0.5319389390618878,0.5860647840940392,11149.27874675,11865.234859,15835.820381
rrcf,Robust Random Cut Forest,by_competitor,12,0.23700515884985926,0.2288723039721413,0.1934703531522714,0.2822725953851719,0.5865907758621866,0.5868237310855536,0.5201341594293509,0.6352137706263986,3732.6343318333334,3970.5024630000003,9553.409917
