baseline_detector_family,baseline_detector_label,challenger_detector_family,challenger_detector_label,granularity,if_mean_best_g_mean,challenger_mean_best_g_mean,if_g_mean_advantage,if_mean_best_f1,challenger_mean_best_f1,if_f1_advantage,if_mean_training_time_sec,challenger_mean_training_time_sec,challenger_to_if_time_ratio,if_beats_on_g_mean,if_beats_on_f1,if_faster,if_dominates
if,Isolation Forest,eif,Extended Isolation Forest,global,0.8486036044980119,0.503769831879813,0.3448337726181989,0.5711319434939917,0.2188779548335867,0.3522539886604049,48.289223,10912.502757,225.98215666050373,True,True,True,True
if,Isolation Forest,eif,Extended Isolation Forest,by_country,0.862154791706411,0.5453232960026105,0.3168314957038004,0.5782590816361625,0.24888712095709917,0.32937196067906327,15.671339,3530.11243825,225.25914590004086,True,True,True,True
if,Isolation Forest,eif,Extended Isolation Forest,by_competitor,0.8886249095669486,0.5826896742125787,0.30593523535436995,0.6370238853500777,0.2654351207738031,0.3715887645762746,4.872552583333333,1201.2528258333334,246.5346048685536,True,True,True,True
if,Isolation Forest,rrcf,Robust Random Cut Forest,global,0.8486036044980119,0.5459871773646214,0.30261642713339043,0.5711319434939917,0.20056998453687475,0.3705619589571169,48.289223,23626.38317,489.26824045191205,True,True,True,True
if,Isolation Forest,rrcf,Robust Random Cut Forest,by_country,0.862154791706411,0.5481191940691792,0.31403559763723177,0.5782590816361625,0.20561283508281603,0.37264624655334644,15.671339,11149.27874675,711.4439134237349,True,True,True,True
if,Isolation Forest,rrcf,Robust Random Cut Forest,by_competitor,0.8886249095669486,0.5865907758621866,0.30203413370476206,0.6370238853500777,0.23700515884985926,0.4000187265002184,4.872552583333333,3732.6343318333334,766.0531657679562,True,True,True,True
