source,detector_family,detector_label,mh_level,granularity,scope_id,dataset_name,sweep_id,best_candidate_id,best_config_key,best_threshold,best_f1,best_g_mean,training_time_sec,summary_path
forest_scope_summary,eif,Extended Isolation Forest,mh5,by_competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,eif_mh5_granularity_fixed_gmean_winner,eif__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p2,eif__max_features_0p5__max_samples_256__n_estimators_100,0.2,0.25038597749647934,0.5808059538258411,1162.20727,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\eif\summary.json
forest_scope_summary,eif,Extended Isolation Forest,mh5,by_competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,eif_mh5_granularity_fixed_gmean_winner,eif__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p2,eif__max_features_0p5__max_samples_256__n_estimators_100,0.2,0.2739854002859285,0.5940877622656926,1544.840307,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\eif\summary.json
forest_scope_summary,eif,Extended Isolation Forest,mh5,by_competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,eif_mh5_granularity_fixed_gmean_winner,eif__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p2,eif__max_features_0p5__max_samples_256__n_estimators_100,0.2,0.2472444997866852,0.5252102667475422,1866.705937,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\eif\summary.json
forest_scope_summary,eif,Extended Isolation Forest,mh5,by_competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,eif_mh5_granularity_fixed_gmean_winner,eif__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p2,eif__max_features_0p5__max_samples_256__n_estimators_100,0.2,0.29577008316277426,0.611783041404542,355.125791,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\eif\summary.json
forest_scope_summary,eif,Extended Isolation Forest,mh5,by_competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,eif_mh5_granularity_fixed_gmean_winner,eif__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p2,eif__max_features_0p5__max_samples_256__n_estimators_100,0.2,0.26969151387281326,0.6033935501581469,1424.83622,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\eif\summary.json
forest_scope_summary,eif,Extended Isolation Forest,mh5,by_competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,eif_mh5_granularity_fixed_gmean_winner,eif__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p2,eif__max_features_0p5__max_samples_256__n_estimators_100,0.2,0.18754187203625405,0.493507173775776,2.079705,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\eif\summary.json
forest_scope_summary,if,Isolation Forest,mh5,global,GLOBAL_2026-02-08,GLOBAL,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100__threshold_0p3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,0.3,0.5711319434939917,0.8486036044980119,48.289223,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\global\GLOBAL_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100__threshold_0p3,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,0.3,0.5231963051305881,0.8324583659384774,11.917138,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,single_config_optimized_mh5_run,if__contamination_auto__max_features_1__max_samples_256__n_estimators_200__threshold_0p3,if__contamination_auto__max_features_1__max_samples_256__n_estimators_200,0.3,0.6034632075138755,0.8558412610477524,10.534684,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200__threshold_0p3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,0.3,0.600274282591477,0.8655696280751497,30.206014,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\if\summary.json
