schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,multiplier
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_1p000,iqr__multiplier_1p000,tuning,iqr,COUNTRY_2,by_country,ok,,287.5242039998993,2757482,497970,815693,0.3658916444273208,0.7740827055864439,0.4965296219634522,coarse,1,0.4965296219634522,0.805260055225789,0.25,0.8641805731268952,0.0,0.4177055170568315,0.0,0.9090507460288773,0.0,0.57239678826579,0.0,0.8837713812086504,0.0,0.8044153866712108,0.0,0.24499260829179587,0.0,0.4591572778874327,0.0,0.319506233924664,0.0,0.6220669612657792,0.0,1.0
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_1p500,iqr__multiplier_1p500,tuning,iqr,COUNTRY_2,by_country,ok,,297.37348399986513,2757482,497970,815693,0.4005384805994573,0.7542518373471478,0.5225650515562005,coarse,1,0.5225650515562005,0.8055286823756423,0.0,0.8822579673474306,0.0,0.45455293669818214,0.0,0.887262284876599,0.0,0.6011374304412305,0.0,0.8844777390219363,0.0,0.8270721950537764,0.0,0.2745047497024328,0.0,0.44389412644509557,0.0,0.33922950082446407,0.0,0.6213142168676233,0.0,1.5
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_2p000,iqr__multiplier_2p000,tuning,iqr,COUNTRY_2,by_country,ok,,298.23104670015164,2757482,497970,815693,0.4266934347626288,0.7338524569248015,0.5385543126767921,coarse,1,0.5385543126767921,0.8013432592790628,0.25,0.8932124425166175,0.0,0.48112996873604286,0.0,0.8653131714761934,0.0,0.6184117051888315,0.0,0.8806763833447263,0.0,0.8428980020669541,0.0,0.2996748554913295,0.0,0.4271107896382204,0.0,0.35222039681536715,0.0,0.6162326364591816,0.0,2.0
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_2p500,iqr__multiplier_2p500,tuning,iqr,COUNTRY_2,by_country,ok,,299.91801769984886,2757482,497970,815693,0.4455644858489983,0.716415531954733,0.5480214261538068,coarse,1,0.5480214261538068,0.7959856695931342,0.5,0.900379540936201,0.0,0.5011224211038923,0.0,0.847259875092877,0.0,0.6297634151802374,0.0,0.8762740107951696,0.0,0.8520950896967364,0.0,0.31592930358757915,0.0,0.41111206463239713,0.0,0.35729011842546865,0.0,0.608646206788385,0.0,2.5
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_3p000,iqr__multiplier_3p000,tuning,iqr,COUNTRY_2,by_country,ok,,301.0369241000153,2757482,497970,815693,0.460579048209414,0.6998656936796711,0.5538053151896687,coarse,1,0.5538053151896687,0.7898251123230616,0.75,0.9053336546378296,0.0,0.5166037358405642,0.0,0.8297487800469908,0.0,0.6367594140808607,0.0,0.870728425369801,0.0,0.859064623577743,0.0,0.3298547770700637,0.0,0.39680515882259193,0.0,0.3602457511102207,0.0,0.6010507152140031,0.0,3.0
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_1p250,iqr__multiplier_1p250,tuning,iqr,COUNTRY_2,by_country,ok,,289.17006770009175,2757482,497970,815693,0.38376986466514923,0.7645321465262489,0.5105402172481338,refine,1,0.5105402172481338,0.8060592491936511,0.125,0.8741570777356066,0.0,0.43713668825776447,0.0,0.8985280237765327,0.0,0.5881409624459428,0.0,0.8848850336982685,0.0,0.8160729588215174,0.0,0.2592472762823804,0.0,0.45187509960892003,0.0,0.3294718117865794,0.0,0.6221324186828774,0.0,1.25
phase2.v1,all_global_single_attempt_batch,iqr__multiplier_1p750,iqr__multiplier_1p750,tuning,iqr,COUNTRY_2,by_country,ok,,298.53863060008734,2757482,497970,815693,0.41301383157660904,0.7443183741639157,0.53045554524686,refine,1,0.53045554524686,0.8036202258306948,0.125,0.8879832118400707,0.0,0.46792865411825235,0.0,0.8766391549691749,0.0,0.6101657010671679,0.0,0.882918916405368,0.0,0.83421826594074,0.0,0.28487924564610795,0.0,0.4355698856183109,0.0,0.34446518166614154,0.0,0.6185899478231243,0.0,1.75
