detector_family,detector_label,mh_value,mh_level,granularity,scope_id,threshold,weighted_f1_mean,weighted_g_mean,combined_f1,rank_score,source_root,best_configuration_path
hybrid_weighted,Hybrid weighted,15,mh15,global,GLOBAL_2026-02-08,4.0,0.3837623529672059,0.6911343788886087,0.3837623529672059,0.6911343788886087,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch\mh15\global\GLOBAL_2026-02-08\hybrid_weighted\best_configuration.json
hybrid_weighted,Hybrid weighted,20,mh20,global,GLOBAL_2026-02-08,4.0,0.3780847281815543,0.7234565446233288,0.3780847281815543,0.7234565446233288,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch\mh20\global\GLOBAL_2026-02-08\hybrid_weighted\best_configuration.json
hybrid_weighted,Hybrid weighted,25,mh25,global,GLOBAL_2026-02-08,5.0,0.42847787328130416,0.7773032214313795,0.42847787328130416,0.7773032214313795,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch\mh25\global\GLOBAL_2026-02-08\hybrid_weighted\best_configuration.json
hybrid_weighted,Hybrid weighted,30,mh30,global,GLOBAL_2026-02-08,5.0,0.4317579747210251,0.7843705550808031,0.4317579747210251,0.7843705550808031,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\no_avg_hybrid_weighted_single_attempt_batch\mh30\global\GLOBAL_2026-02-08\hybrid_weighted\best_configuration.json
modified_mad,Modified MAD,5,mh5,global,GLOBAL_2026-02-08,3.5,0.38249453700150454,0.6716424600133346,0.38249453700150454,0.6716424600133346,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh5\global\GLOBAL_2026-02-08\modified_mad\best_configuration.json
modified_mad,Modified MAD,10,mh10,global,GLOBAL_2026-02-08,3.5,0.3972242700925354,0.6906532315639338,0.3972242700925354,0.6906532315639338,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh10\global\GLOBAL_2026-02-08\modified_mad\best_configuration.json
modified_mad,Modified MAD,15,mh15,global,GLOBAL_2026-02-08,3.5,0.383654355844209,0.6898283497004933,0.383654355844209,0.6898283497004933,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh15\global\GLOBAL_2026-02-08\modified_mad\best_configuration.json
modified_mad,Modified MAD,20,mh20,global,GLOBAL_2026-02-08,3.5,0.3769743573180684,0.7210272261176601,0.3769743573180684,0.7210272261176601,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh20\global\GLOBAL_2026-02-08\modified_mad\best_configuration.json
modified_mad,Modified MAD,25,mh25,global,GLOBAL_2026-02-08,3.5,0.4061790956350413,0.7739366065421349,0.4061790956350413,0.7739366065421349,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh25\global\GLOBAL_2026-02-08\modified_mad\best_configuration.json
modified_mad,Modified MAD,30,mh30,global,GLOBAL_2026-02-08,3.5,0.4080045065360236,0.7793604736152195,0.4080045065360236,0.7793604736152195,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\1-6coarse_grid_single_attempt_batch\mh30\global\GLOBAL_2026-02-08\modified_mad\best_configuration.json
