mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity,combined,price_spike,0.0,0.0,0.0,0.9616234124792932,0.038376587520706794,1.0,0.0,0,1807,641,45279,641,47086,1807
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity,combined,zero_price,0.32706142778085223,1.0,0.4929107589658049,0.9742023082145281,0.025797691785471828,0.0,0.9870168733180442,591,1216,0,45920,591,47136,1807
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,currency_swap,0.09642802391537636,1.0,0.17589485458612977,0.8748566818123912,0.12514331818760882,0.0,0.9353377367627114,629,5894,0,41204,629,47098,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,decimal_shift,0.08278399509428178,0.907563025210084,0.15172801348693452,0.8730586438088772,0.12694135619112282,0.09243697478991597,0.8901436647873184,540,5983,55,41149,595,47132,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,extreme_outlier,0.08002452859113905,0.9173989455184535,0.14720812182741116,0.8727469358327326,0.12725306416726748,0.08260105448154657,0.8947944560833009,522,6001,47,41157,569,47158,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,negative_price,0.08998926874137667,1.0,0.16511954992967653,0.8740772168010182,0.12592278319898176,0.0,0.934920968211227,587,5936,0,41204,587,47140,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,price_drop,0.05380959681128315,0.5811258278145696,0.09849866704083064,0.8690236190395348,0.13097638096046516,0.41887417218543044,0.710642012552567,351,6172,253,40951,604,47123,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,price_noise,0.008125095814809137,0.09532374100719425,0.014973866365305837,0.8628394564456976,0.13716054355430243,0.9046762589928058,0.28679101254575246,53,6470,503,40701,556,47171,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,price_spike,0.08125095814809137,0.8268330733229329,0.14796203238414296,0.8727222528989509,0.12727774710104914,0.1731669266770671,0.8494678466674024,530,5993,111,41093,641,47086,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> IF,combined,zero_price,0.09060248351985283,1.0,0.16615125105425918,0.8741513917175832,0.12584860828241684,0.0,0.9349606364535265,591,5932,0,41204,591,47136,6523
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,currency_swap,0.08266526481797871,1.0,0.1527069677106094,0.8517983778504395,0.14820162214956048,0.0,0.9229292377265115,629,6980,0,40118,629,47098,7609
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,decimal_shift,0.05835195163622026,0.746218487394958,0.10823988298391028,0.8479801408809301,0.15201985911906984,0.253781512605042,0.7954737318536238,444,7165,151,39967,595,47132,7609
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,extreme_outlier,0.05532921540281246,0.7398945518453427,0.10295915871851308,0.8475762330887654,0.15242376691123458,0.2601054481546573,0.7919072149791134,421,7188,148,39970,569,47158,7609
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,negative_price,0.07714548560914707,1.0,0.14324060517325524,0.8510394569367841,0.14896054306321596,0.0,0.9225179981641465,587,7022,0,40118,587,47140,7609
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,price_drop,0.04902089630700486,0.6175496688741722,0.09083160842566662,0.846444411433907,0.153555588566093,0.3824503311258278,0.722994789747065,373,7236,231,39887,604,47123,7609
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,price_noise,0.015507951110527007,0.21223021582733814,0.028903857930189833,0.8411948018909924,0.15880519810900764,0.7877697841726619,0.4225245014885649,118,7491,438,39680,556,47171,7609
,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,,Sanity -> Z-score,combined,price_spike,0.06374030753055591,0.7566302652106084,0.11757575757575756,0.8487023743787963,0.15129762562120375,0.24336973478939158,0.801345058393138,485,7124,156,39962,641,47086,7609
