schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_2p000,standard_zscore__threshold_2p000,tuning,standard_zscore,COUNTRY_4,by_country,ok,,89.34683850000147,1087251,82792,292635,0.3621259612891983,0.9134914908849205,0.5185702007786046,coarse,1,0.5185702007786046,0.8646296469411552,0.3333333333333333,0.8477026765871098,0.0,0.39470868592549363,0.0,0.9803116318395941,0.0,0.5628098887001144,0.0,0.903642046618513,0.0,0.7867240760674561,0.0,0.28609960380450916,0.0,0.7575778286573489,0.0,0.415344262295082,0.0,0.7736007143606539,0.0,2.0
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_2p500,standard_zscore__threshold_2p500,tuning,standard_zscore,COUNTRY_4,by_country,ok,,89.2792282999726,1087251,82792,292635,0.44201538078407093,0.8919869203565103,0.5906322336176039,coarse,1,0.5906322336176039,0.8810492100930014,0.16666666666666666,0.8974176248912938,0.0,0.4933778933036267,0.0,0.9629182268389902,0.0,0.6524532471252609,0.0,0.925814239963354,0.0,0.8198028260460983,0.0,0.3221695182384409,0.0,0.726480538564057,0.0,0.4463832020997376,0.0,0.7765974737288455,0.0,2.5
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_3p000,standard_zscore__threshold_3p000,tuning,standard_zscore,COUNTRY_4,by_country,ok,,97.17676780000329,1087251,82792,292635,0.5130800539740656,0.8670006350023964,0.6439410890862527,coarse,1,0.6439410890862527,0.885012614261057,0.0,0.9251376944632331,0.0,0.5772285311363468,0.0,0.939364657567339,0.0,0.7150606840750275,0.0,0.9314272760091872,0.0,0.8475165308319237,0.0,0.36340027392874297,0.0,0.6981512490175307,0.0,0.4779953674457781,0.0,0.7767117368487534,0.0,3.0
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_3p500,standard_zscore__threshold_3p500,tuning,standard_zscore,COUNTRY_4,by_country,ok,,94.97820969996974,1087251,82792,292635,0.5675732628054252,0.8392164421855188,0.6760293329055437,coarse,1,0.6760293329055437,0.8801093206553392,0.16666666666666666,0.9410208715817954,0.0,0.6450786056049214,0.0,0.9119458871844426,0.0,0.7556422959515589,0.0,0.9279580404248351,0.0,0.8607822030857553,0.0,0.3867274629399341,0.0,0.6695144038546971,0.0,0.49026575246484155,0.0,0.7684623078598489,0.0,3.5
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_4p000,standard_zscore__threshold_4p000,tuning,standard_zscore,COUNTRY_4,by_country,ok,,95.41942869999912,1087251,82792,292635,0.6050577188025248,0.8084502328589092,0.6907998666938663,coarse,1,0.6907998666938663,0.8695828389683622,0.3333333333333333,0.9482921055174413,0.0,0.689442759666414,0.0,0.8787293151346781,0.0,0.77266209972917,0.0,0.9165608347579223,0.0,0.8709997095357698,0.0,0.40815929012011687,0.0,0.6444657075487817,0.0,0.499787989611491,0.0,0.7599675154593889,0.0,4.0
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_4p500,standard_zscore__threshold_4p500,tuning,standard_zscore,COUNTRY_4,by_country,ok,,95.2695108000189,1087251,82792,292635,0.6383668727440972,0.7783042076515004,0.6999563827654717,coarse,1,0.6999563827654717,0.857615972157494,0.5,0.9530630978838535,0.0,0.728540214337738,0.0,0.8457543181543665,0.0,0.7827836780324203,0.0,0.9034052555876761,0.0,0.8790985357185572,0.0,0.4279624090256024,0.0,0.6209206164781464,0.0,0.5066926938092582,0.0,0.7507743108204024,0.0,4.5
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_5p000,standard_zscore__threshold_5p000,tuning,standard_zscore,COUNTRY_4,by_country,ok,,97.35740930004977,1087251,82792,292635,0.6674076221677314,0.7517147270937469,0.7055609043695323,coarse,1,0.7055609043695323,0.846184195210876,0.6666666666666666,0.9560947917673205,0.0,0.7615453931065556,0.0,0.8166445222853002,0.0,0.7881331235064405,0.0,0.8907540134541193,0.0,0.8859944982657577,0.0,0.44775282331047495,0.0,0.6002118716467895,0.0,0.5128923930500803,0.0,0.7421879526433083,0.0,5.0
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_2p750,standard_zscore__threshold_2p750,tuning,standard_zscore,COUNTRY_4,by_country,ok,,92.01653849997092,1087251,82792,292635,0.480440877675271,0.8813552269762388,0.621285802814727,refine,1,0.621285802814727,0.8852414824384569,0.08333333333333333,0.9136873127838439,0.0,0.5386504741761615,0.0,0.9536175866650561,0.0,0.6884373910010464,0.0,0.9311699583673534,0.0,0.8357305175389137,0.0,0.3446184858398599,0.0,0.7127430543689984,0.0,0.4645987637133151,0.0,0.7780750386043651,0.0,2.75
phase2.v1,by_country_single_attempt_batch,standard_zscore__threshold_3p250,standard_zscore__threshold_3p250,tuning,standard_zscore,COUNTRY_4,by_country,ok,,93.80041890009306,1087251,82792,292635,0.5414934238387151,0.8533122013691452,0.6616133541650417,refine,1,0.6616133541650417,0.8831805019166268,0.08333333333333333,0.9340636776500145,0.0,0.6126738053380214,0.0,0.9260780287474333,0.0,0.7374597220218343,0.0,0.9305039124283669,0.0,0.8546311958583218,0.0,0.3754058670070006,0.0,0.6835252708198066,0.0,0.4846384958325258,0.0,0.7727592107225666,0.0,3.25
