schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,threshold
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_1p000,hybrid_max__threshold_1p000,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,30.865630799904466,233041,14588,62215,0.1576537670213385,0.8361818315722951,0.2652281842252993,coarse,1,0.2652281842252993,0.6485424070235853,0.2,0.527831094049904,0.0,0.1580604534005038,0.0,0.8607681755829903,0.0,0.267078101723771,0.0,0.6500132338937745,0.0,0.5588041469099092,0.0,0.15670483213661945,0.0,0.7788136955473397,0.0,0.26091171006219877,0.0,0.6451104776598107,0.0,1.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_2p000,hybrid_max__threshold_2p000,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,35.29932829993777,233041,14588,62215,0.22180068368390848,0.8298397017579952,0.35003972756330887,coarse,1,0.35003972756330887,0.749228627416384,0.0,0.6952975047984645,0.0,0.22721461187214612,0.0,0.8532235939643347,0.0,0.35886340689456225,0.0,0.7604482565251506,0.0,0.6844330145463313,0.0,0.20916818457802064,0.0,0.7752772866098698,0.0,0.3294511424570511,0.0,0.7230494928292619,0.0,2.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_3p000,hybrid_max__threshold_3p000,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,37.06764389993623,233041,14588,62215,0.2772789631031952,0.8167944695485818,0.4140100853756934,coarse,1,0.4140100853756934,0.7895194542013404,0.2,0.7737181244858788,0.0,0.2861452773265259,0.0,0.845679012345679,0.0,0.42760534073174966,0.0,0.8047108438930186,0.0,0.7578397492566101,0.0,0.2565908965820904,0.0,0.7493972030220222,0.0,0.38228782287822877,0.0,0.7540728782540916,0.0,3.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_4p000,hybrid_max__threshold_4p000,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,38.49920589989051,233041,14588,62215,0.3171204701686944,0.7868971727030155,0.4520541309631148,coarse,1,0.4520541309631148,0.7990506806119299,0.4,0.8135453797641897,0.0,0.3264576457645765,0.0,0.8141289437585734,0.0,0.4660384766391834,0.0,0.8138046967231332,0.0,0.7997589005866752,0.0,0.29533372711163614,0.0,0.7233563735733805,0.0,0.4194239910522881,0.0,0.7646246430191226,0.0,4.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_5p000,hybrid_max__threshold_5p000,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,39.095562499947846,233041,14588,62215,0.3491905107650292,0.7591571779200896,0.47830789299164533,coarse,1,0.47830789299164533,0.7996796595435105,0.6,0.8371949547573347,0.0,0.3572095920274058,0.0,0.7866941015089163,0.0,0.4913257656885844,0.0,0.8142652796967019,0.0,0.8287229767740899,0.0,0.3304793211528171,0.0,0.6949043562128275,0.0,0.44793285669878774,0.0,0.7656465458527306,0.0,5.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_6p000,hybrid_max__threshold_6p000,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,38.6692110998556,233041,14588,62215,0.3717302574761874,0.7322873386284651,0.49308605267584116,coarse,1,0.49308605267584116,0.7945178111225686,0.8,0.8522758431587606,0.0,0.38019938123066344,0.0,0.7585733882030178,0.0,0.506526219372567,0.0,0.8089541153329144,0.0,0.8435747006348951,0.0,0.3519689687157433,0.0,0.6709532229545089,0.0,0.4617256637168141,0.0,0.7608331012984286,0.0,6.0
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_4p500,hybrid_max__threshold_4p500,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,38.01254679984413,233041,14588,62215,0.33237331544403015,0.773147734707148,0.46486406575180306,refine,1,0.46486406575180306,0.7996592066120258,0.5,0.8251302440361942,0.0,0.34053107674350747,0.0,0.8004115226337448,0.0,0.4777891504605938,0.0,0.8140274967721002,0.0,0.8154785823354497,0.0,0.3133385390785831,0.0,0.7095322295450892,0.0,0.43470553476462476,0.0,0.7661331962385189,0.0,4.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_4p750,hybrid_max__threshold_4p750,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,38.480426399968565,233041,14588,62215,0.3392991872151534,0.7651199011975236,0.47006277927340345,refine,1,0.47006277927340345,0.7988441793536933,0.55,0.8296545105566219,0.0,0.34611926880431526,0.0,0.7921810699588477,0.0,0.4817518248175183,0.0,0.812731816079227,0.0,0.8233384232098369,0.0,0.323385663507109,0.0,0.7019771740877673,0.0,0.442788339670469,0.0,0.7664396936607815,0.0,4.75
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_5p250,hybrid_max__threshold_5p250,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,37.97394189983606,233041,14588,62215,0.3544018892420647,0.7522845867651693,0.481771405122551,refine,1,0.481771405122551,0.798386346194322,0.65,0.8408280778722238,0.0,0.3622448979591837,0.0,0.7791495198902606,0.0,0.49455811928602517,0.0,0.8126913229017346,0.0,0.8327573736237242,0.0,0.3361015355687872,0.0,0.6895997428066227,0.0,0.4519357387411113,0.0,0.7650080672103596,0.0,5.25
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_max__threshold_5p500,hybrid_max__threshold_5p500,tuning,hybrid_max,COMPETITOR_1_COUNTRY_2,by_competitor,ok,,39.717875299975276,233041,14588,62215,0.36008556748983345,0.7470430920182953,0.4858948659445207,refine,1,0.4858948659445207,0.7978175470231944,0.7,0.8448039484507814,0.0,0.3684725848563969,0.0,0.7743484224965707,0.0,0.4993365767359575,0.0,0.8125458843379492,0.0,0.8360041790564976,0.0,0.3405158603011855,0.0,0.6833306542356534,0.0,0.4545308740978348,0.0,0.7634514266221001,0.0,5.5
