mh_level,granularity,scope_id,dataset_name,status,reason,detectors_requested,detectors_succeeded,detectors_failed,scope_output_dir,cache_snapshot_path,cache_status,train_path,test_new_prices_path,test_new_products_path
mh15,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh15\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh15\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh15\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh15\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh15\global\GLOBAL_2026-02-08_test_new_products.parquet
mh16,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh16\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh16\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh16\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh16\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh16\global\GLOBAL_2026-02-08_test_new_products.parquet
mh17,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh17\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh17\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh17\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh17\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh17\global\GLOBAL_2026-02-08_test_new_products.parquet
mh18,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh18\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh18\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh18\global\GLOBAL_2026-02-08_test_new_products.parquet
mh19,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh19\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh19\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh19\global\GLOBAL_2026-02-08_test_new_products.parquet
mh20,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh20\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh20\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh20\global\GLOBAL_2026-02-08_test_new_products.parquet
mh21,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh21\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh21\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh21\global\GLOBAL_2026-02-08_test_new_products.parquet
mh22,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh22\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh22\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh22\global\GLOBAL_2026-02-08_test_new_products.parquet
mh23,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh23\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh23\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh23\global\GLOBAL_2026-02-08_test_new_products.parquet
mh24,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh24\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh24\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh24\global\GLOBAL_2026-02-08_test_new_products.parquet
mh25,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh25\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh25\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh25\global\GLOBAL_2026-02-08_test_new_products.parquet
mh26,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh26\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh26\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh26\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh26\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh26\global\GLOBAL_2026-02-08_test_new_products.parquet
mh27,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh27\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh27\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh27\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh27\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh27\global\GLOBAL_2026-02-08_test_new_products.parquet
mh28,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh28\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh28\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh28\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh28\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh28\global\GLOBAL_2026-02-08_test_new_products.parquet
mh29,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh29\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh29\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh29\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh29\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh29\global\GLOBAL_2026-02-08_test_new_products.parquet
mh30,global,GLOBAL_2026-02-08,GLOBAL,complete,,1,1,0,C:\Users\Administrator\Desktop\dippa\src\results\tuning\statistical\global_single_attempt_batch\mh30\global\GLOBAL_2026-02-08,C:\Users\Administrator\Desktop\dippa\src\artifacts\cache\statistical_tuning\mh30\global\GLOBAL_2026-02-08\template_cache.joblib,reused,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh30\global\GLOBAL_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh30\global\GLOBAL_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh30\global\GLOBAL_2026-02-08_test_new_products.parquet
