run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,price_change_threshold,stage
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_prices,threshold,0.9741753936026216,0.7956223220277735,0.9981542048508791,0.9715111195863751,0.8854545193398734,0.9847425597964808,30824,7918,57,270015,308814,30881,38742,1,42,0.1,coarse
threshold__price_change_threshold_0p100__attempt_01,threshold__price_change_threshold_0p100,new_products,threshold,0.8128803936291888,0.34010943323816556,0.926590099009901,0.8002460708747485,0.4975797738853774,0.8611039925840069,58491,113486,4634,454643,631254,63125,171977,1,42,0.1,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_prices,threshold,0.9821543064757426,0.8681934285382561,0.9685891000939089,0.9836615299370711,0.9156475288139224,0.9760962227561099,29911,4541,970,273392,308814,30881,34452,1,42,0.15,coarse
threshold__price_change_threshold_0p150__attempt_01,threshold__price_change_threshold_0p150,new_products,threshold,0.8463423598107893,0.3852854317375166,0.9011009900990099,0.8402581103939423,0.539777283273471,0.870147927202441,56882,90754,6243,477375,631254,63125,147636,1,42,0.15,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_prices,threshold,0.9839255992280143,0.9056249413090431,0.9368867588484829,0.9891520618278506,0.9209906411154263,0.9626647750978474,28932,3015,1949,274918,308814,30881,31947,1,42,0.2,coarse
threshold__price_change_threshold_0p200__attempt_01,threshold__price_change_threshold_0p200,new_products,threshold,0.8639073970224347,0.4145155480850042,0.8750891089108911,0.8626649933377807,0.5625569660215185,0.8688548442108027,55240,78024,7885,490105,631254,63125,133264,1,42,0.2,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_prices,threshold,0.9837410221039201,0.9296537515783877,0.9059615945079499,0.9923830563481126,0.9176547765477655,0.9481882387436625,27977,2117,2904,275816,308814,30881,30094,1,42,0.25,coarse
threshold__price_change_threshold_0p250__attempt_01,threshold__price_change_threshold_0p250,new_products,threshold,0.8768657307518052,0.4401033549339677,0.8499485148514851,0.8798565114613054,0.5799227173237496,0.8647732276145841,53653,68257,9472,499872,631254,63125,121910,1,42,0.25,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_prices,threshold,0.9825687954561646,0.9464248196652426,0.8752307243936401,0.9944950761514466,0.9094365652181228,0.9329590805099326,27028,1530,3853,276403,308814,30881,28558,1,42,0.3,coarse
threshold__price_change_threshold_0p300__attempt_01,threshold__price_change_threshold_0p300,new_products,threshold,0.8885092213277065,0.46740771359764205,0.824,0.8956768621211028,0.5964715123646142,0.8590912258822043,52015,59269,11110,508860,631254,63125,111284,1,42,0.3,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_prices,threshold,0.9782555195036494,0.9664890742027643,0.8106602765454487,0.9968769451630429,0.8817427751263582,0.8989596987894699,25034,868,5847,277065,308814,30881,25902,1,42,0.4,coarse
threshold__price_change_threshold_0p400__attempt_01,threshold__price_change_threshold_0p400,new_products,threshold,0.8979396566199976,0.4933837813647413,0.768459405940594,0.9123262498481859,0.6009390252966973,0.8373085978194341,48509,49810,14616,518319,631254,63125,98319,1,42,0.4,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_prices,threshold,0.9733075572998634,0.9758681577398469,0.7516595965156568,0.9979347540594316,0.8492143340589386,0.8660873134882323,23212,574,7669,277359,308814,30881,23786,1,42,0.5,coarse
threshold__price_change_threshold_0p500__attempt_01,threshold__price_change_threshold_0p500,new_products,threshold,0.8985638110808011,0.49501314067671737,0.7131247524752475,0.9191680058578245,0.5843805171876624,0.8096180930911364,45016,45923,18109,522206,631254,63125,90939,1,42,0.5,coarse
threshold__price_change_threshold_0p125__attempt_01,threshold__price_change_threshold_0p125,new_prices,threshold,0.979427746151405,0.8391405342624855,0.9826430491240569,0.9790704954071665,0.9052399206479423,0.9808551457347303,30345,5817,536,272116,308814,30881,36162,1,42,0.125,refine
threshold__price_change_threshold_0p125__attempt_01,threshold__price_change_threshold_0p125,new_products,threshold,0.8324778932093896,0.365130996076446,0.9140277227722772,0.8234168648317548,0.5218114811548983,0.8675401096516845,57698,100322,5427,467807,631254,63125,158020,1,42,0.125,refine
