detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
Sanity -> IF,combined,price_spike,0.050215028389526455,0.6792391375154713,0.09351653378057204,0.8559827196789296,0.14401728032107047,0.3207608624845287,0.7625070257006578,10427,197220,4924,1172199,15351,1369419,207647
Sanity -> IF,combined,zero_price,0.07349973753533641,1.0,0.13693480299135521,0.8595225438624674,0.1404774561375326,0.0,0.927104386712989,15262,192385,0,1177123,15262,1369508,207647
Sanity -> Z-score,combined,currency_swap,0.09066680817693501,1.0,0.16625940662572442,0.8873792987111808,0.11262070128881921,0.0,0.942008120300022,15377,154222,0,1215171,15377,1369393,169599
Sanity -> Z-score,combined,decimal_shift,0.04556041014392773,0.49813047962867457,0.08348504410866994,0.8817812274969363,0.1182187725030637,0.5018695203713254,0.6627534275887302,7727,161872,7785,1207386,15512,1369258,169599
Sanity -> Z-score,combined,extreme_outlier,0.0477361305196375,0.5263636954684351,0.08753378743647962,0.8820619999138302,0.11793800008616982,0.4736363045315649,0.6813849234514381,8096,161503,7285,1207886,15381,1369389,169599
Sanity -> Z-score,combined,list_price_violation,0.09071987452756207,1.0,0.16634862286131305,0.8873851308325496,0.11261486916745048,0.0,0.9420112158740731,15386,154213,0,1215171,15386,1369384,169599
Sanity -> Z-score,combined,negative_price,0.09086138479590092,1.0,0.16658649038695414,0.8874006835309926,0.11259931646900742,0.0,0.9420194708874082,15410,154189,0,1215171,15410,1369360,169599
Sanity -> Z-score,combined,price_drop,0.038366971503369714,0.4220391749902711,0.07033948231784107,0.8808984103429943,0.11910158965700565,0.5779608250097289,0.6097324317693775,6507,163092,8911,1206260,15418,1369352,169599
Sanity -> Z-score,combined,price_noise,0.02009445810411618,0.2216008843227778,0.0368476251229876,0.8786387525549678,0.12136124744503214,0.7783991156772222,0.4412563025798535,3408,166191,11971,1203200,15379,1369391,169599
Sanity -> Z-score,combined,price_spike,0.04694013526023149,0.5185981369291903,0.086088131927548,0.8819660016401116,0.11803399835988838,0.48140186307080973,0.6763031312107384,7961,161638,7390,1207781,15351,1369419,169599
Sanity -> Z-score,combined,zero_price,0.0899887381411447,1.0,0.16511865672045486,0.8873047839077975,0.11269521609220245,0.0,0.9419685684287972,15262,154337,0,1215171,15262,1369508,169599
Sanity -> Z-score (>=10) -> IF,combined,currency_swap,0.06576763840416068,1.0,0.12341834380079057,0.8404906407437456,0.15950935925625442,0.0,0.9167827663867518,15377,218431,0,1150962,15377,1369393,233808
Sanity -> Z-score (>=10) -> IF,combined,decimal_shift,0.04919848764798467,0.7415549252191852,0.09227498796727099,0.8376456445753832,0.16235435542461685,0.25844507478081485,0.7881372046308145,11503,222305,4009,1146953,15512,1369258,233808
Sanity -> Z-score (>=10) -> IF,combined,extreme_outlier,0.05483131458290563,0.8334958715298095,0.10289378744647637,0.8386229186885538,0.1613770813114462,0.1665041284701905,0.8360554649646091,12820,220988,2561,1148401,15381,1369389,233808
Sanity -> Z-score (>=10) -> IF,combined,list_price_violation,0.06580613152672278,1.0,0.12348611924845701,0.8404961646988719,0.1595038353011281,0.0,0.916785779066665,15386,218422,0,1150962,15386,1369384,233808
Sanity -> Z-score (>=10) -> IF,combined,negative_price,0.06590877985355506,1.0,0.12366682984375126,0.8405108956008647,0.15948910439913536,0.0,0.9167938130249705,15410,218398,0,1150962,15410,1369360,233808
Sanity -> Z-score (>=10) -> IF,combined,price_drop,0.035627523438034624,0.5402775976131794,0.06684695818253311,0.8353396350974768,0.16466036490252323,0.4597224023868206,0.6718000381374912,8330,225478,7088,1143874,15418,1369352,233808
Sanity -> Z-score (>=10) -> IF,combined,price_noise,0.014772805036611237,0.22459197607126602,0.027722152439734013,0.8317836176811444,0.1682163823188556,0.775408023928734,0.43221745263086575,3454,230354,11925,1139037,15379,1369391,233808
Sanity -> Z-score (>=10) -> IF,combined,price_spike,0.04464346814480257,0.6799557032115172,0.08378585561829996,0.8368870301930965,0.1631129698069035,0.32004429678848284,0.7543514493414493,10438,223370,4913,1146049,15351,1369419,233808
Sanity -> Z-score (>=10) -> IF,combined,zero_price,0.06527578183808937,1.0,0.12255189304211667,0.8404200632635954,0.1595799367364046,0.0,0.9167442736464708,15262,218546,0,1150962,15262,1369508,233808
Sanity -> Z-score (>=5) -> IF,combined,currency_swap,0.06181708542713568,1.0,0.1164364112718503,0.8295792369319838,0.17042076306801626,0.0,0.9108124049067314,15377,233373,0,1136020,15377,1369393,248750
Sanity -> Z-score (>=5) -> IF,combined,decimal_shift,0.04624321608040201,0.7415549252191852,0.08705754137938863,0.8267331649696404,0.1732668350303595,0.25844507478081485,0.7829866220602253,11503,237247,4009,1132011,15512,1369258,248750
Sanity -> Z-score (>=5) -> IF,combined,extreme_outlier,0.05153768844221106,0.8334958715298095,0.09707304330048348,0.8277114830044641,0.17228851699553596,0.1665041284701905,0.8305986418854999,12820,235930,2561,1133459,15381,1369389,248750
Sanity -> Z-score (>=5) -> IF,combined,list_price_violation,0.06185326633165829,1.0,0.11650059060483993,0.8295846891741104,0.1704153108258896,0.0,0.9108153979671789,15386,233364,0,1136020,15386,1369384,248750
Sanity -> Z-score (>=5) -> IF,combined,negative_price,0.06194974874371859,1.0,0.11667171411265899,0.8295992288368289,0.17040077116317112,0.0,0.9108233796059634,15410,233340,0,1136020,15410,1369360,248750
Sanity -> Z-score (>=5) -> IF,combined,price_drop,0.0337286432160804,0.5441691529381243,0.06352018412525362,0.824471720930776,0.175528279069224,0.4558308470618757,0.6698149580297069,8390,240360,7028,1128992,15418,1369352,248750
Sanity -> Z-score (>=5) -> IF,combined,price_noise,0.01564221105527638,0.2530073476819039,0.029462876094635576,0.8211913178924062,0.17880868210759382,0.7469926523180961,0.45581513498277443,3891,244859,11488,1124532,15379,1369391,248750
Sanity -> Z-score (>=5) -> IF,combined,price_spike,0.04198190954773869,0.680281414891538,0.07908338097924657,0.8259794847303856,0.17402051526961435,0.319718585108462,0.7495988877684986,10443,238307,4908,1131112,15351,1369419,248750
Sanity -> Z-score (>=5) -> IF,combined,zero_price,0.061354773869346735,1.0,0.11561595685044619,0.8295095757016389,0.17049042429836117,0.0,0.9107741628426,15262,233488,0,1136020,15262,1369508,248750
Sanity -> Z-score -> IF (50/50),combined,currency_swap,0.0,0.0,0.0,0.950572991098976,0.04942700890102403,1.0,0.0,0,67685,15377,1301708,15377,1369393,67685
Sanity -> Z-score -> IF (50/50),combined,decimal_shift,0.12143015439166728,0.5298478597215059,0.19757923963604457,0.9565706389884157,0.04342936101158438,0.47015214027849406,0.7119247893846972,8219,59466,7293,1309792,15512,1369258,67685
Sanity -> Z-score -> IF (50/50),combined,extreme_outlier,0.1243554701928049,0.5472335998959755,0.2026581272722895,0.95671938360831,0.043280616391690015,0.45276640010402447,0.7235668541207746,8417,59268,6964,1310121,15381,1369389,67685
Sanity -> Z-score -> IF (50/50),combined,list_price_violation,0.0,0.0,0.0,0.9505726662499343,0.04942733375006572,1.0,0.0,0,67685,15386,1301699,15386,1369384,67685
Sanity -> Z-score -> IF (50/50),combined,negative_price,0.0,0.0,0.0,0.9505717999649471,0.04942820003505287,1.0,0.0,0,67685,15410,1301675,15410,1369360,67685
Sanity -> Z-score -> IF (50/50),combined,price_drop,0.08035753859791682,0.3527694902062524,0.1308978015234107,0.9545434628933978,0.045456537106602246,0.6472305097937475,0.5802876965649149,5439,62246,9979,1307106,15418,1369352,67685
Sanity -> Z-score -> IF (50/50),combined,price_noise,0.03319790204624363,0.14610832954028222,0.05410286044495811,0.9522137943071044,0.0477862056928956,0.8538916704597178,0.37299647029352023,2247,65438,13132,1303953,15379,1369391,67685
Sanity -> Z-score -> IF (50/50),combined,price_spike,0.11887419664622885,0.5241352354895447,0.19379546220916227,0.9564494139485431,0.04355058605145686,0.47586476451045534,0.7080316651208169,8046,59639,7305,1309780,15351,1369419,67685
Sanity -> Z-score -> IF (50/50),combined,zero_price,0.0,0.0,0.0,0.9505771415720098,0.0494228584279902,1.0,0.0,0,67685,15262,1301823,15262,1369508,67685
Z-score,combined,currency_swap,0.0691224119309695,0.5868504909930415,0.12367742996546242,0.9112548406483748,0.08874515935162514,0.41314950900695846,0.7312799400053884,9024,121527,6353,1247866,15377,1369393,130551
Z-score,combined,decimal_shift,0.062488988977487725,0.5259154203197525,0.11170522308866722,0.9106136316165397,0.08938636838346024,0.47408457968024753,0.6920301661203135,8158,122393,7354,1246865,15512,1369258,130551
Z-score,combined,extreme_outlier,0.06452650688236782,0.5476887068461088,0.11545103198750102,0.9108164298092069,0.08918357019079312,0.4523112931538912,0.7062888025562872,8424,122127,6957,1247262,15381,1369389,130551
Z-score,combined,list_price_violation,0.028969521489686022,0.2458078772910438,0.051830584430267855,0.9074262588141822,0.09257374118581786,0.7541921227089562,0.4722843661156565,3782,126769,11604,1242615,15386,1369384,130551
Z-score,combined,negative_price,0.05520447947545404,0.46768332251784556,0.09875240646474057,0.9099258047555062,0.09007419524449378,0.5323166774821545,0.6523473948846424,7207,123344,8203,1246016,15410,1369360,130551
Z-score,combined,price_drop,0.048754892723916324,0.41282916072123493,0.08721029807698895,0.9093103891475676,0.09068961085243239,0.5871708392787651,0.6126906599474892,6365,124186,9053,1245166,15418,1369352,130551
Z-score,combined,price_noise,0.024266378656616953,0.20599518824370897,0.04341807716028233,0.906978357532655,0.09302164246734497,0.794004811756291,0.43224203577730524,3168,127383,12211,1242008,15379,1369391,130551
Z-score,combined,price_spike,0.06356902666390912,0.5406162464985994,0.11376129182602018,0.9107271039762118,0.08927289602378818,0.45938375350140054,0.7016793202996361,8299,122252,7052,1247167,15351,1369419,130551
Z-score,combined,zero_price,0.05294482615989154,0.45288952955051764,0.0948063615726993,0.9097201330696864,0.09027986693031366,0.5471104704494824,0.641874382639286,6912,123639,8350,1245869,15262,1369508,130551
IF,new_prices,currency_swap,0.08452510964342053,0.9983619983619983,0.15585494877818798,0.8795556346187179,0.1204443653812821,0.001638001638001638,0.9370778628526548,4876,52811,8,385657,4884,438468,57687
IF,new_prices,decimal_shift,0.08558254026037063,1.0,0.1576711803781298,0.8796802116715897,0.1203197883284103,0.0,0.9379126887251231,4937,52750,0,385665,4937,438415,57687
IF,new_prices,extreme_outlier,0.08592923882330508,1.0,0.15825937041057406,0.8797203435258157,0.12027965647418425,0.0,0.9379340827189381,4957,52730,0,385665,4957,438395,57687
