run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.821614825852114,0.3546576879910213,0.9564610011641443,0.8066326926559226,0.5174455221060588,0.8783579639243976,4108,7475,187,31182,42952,4295,11583,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.7688399306921576,0.26819526627218937,0.7588314080026787,0.7699519163698254,0.396318803829843,0.7643714390224658,9065,24735,2881,82786,119467,11946,33800,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.8628934624697336,0.4152488302849851,0.9091967403958091,0.8577489199886178,0.5701146069056134,0.883098251686457,3905,5499,390,33158,42952,4295,9404,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.8052767709911524,0.3031894542798511,0.7297003180981082,0.8136736079463547,0.4283853846720888,0.7705438926800279,8717,20034,3229,87487,119467,11946,28751,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8872462283479232,0.4652724968314322,0.8547147846332945,0.8908606461960318,0.6025441116126385,0.8726005760665752,3671,4219,624,34438,42952,4295,7890,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.8367750089983008,0.34406737676492444,0.6976393771973882,0.8522335171733894,0.4608493696084937,0.7710717606990823,8334,15888,3612,91633,119467,11946,24222,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.8993527658781896,0.4979832901181216,0.8048894062863795,0.9098481516930957,0.6152887781436327,0.8557611457801854,3457,3485,838,35172,42952,4295,6942,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.8515405927996853,0.3669699476151089,0.6685082872928176,0.871876191627682,0.47383410466358133,0.7634503648544587,7986,13776,3960,93745,119467,11946,21762,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.907059042652263,0.5242827376182081,0.7615832363213039,0.9232221848565589,0.6210366432504272,0.8385168688742543,3271,2968,1024,35689,42952,4295,6239,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.8638619869922238,0.38927069443019796,0.6353591160220995,0.8892495419499447,0.48276300725098586,0.7516600314612809,7590,11908,4356,95613,119467,11946,19498,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,0.8447569379772769,0.3859463616264539,0.9348079161816065,0.8347517913961249,0.546332834399238,0.8833643544109501,4015,6388,280,32269,42952,4295,10403,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,0.7851959118417638,0.2822304077225962,0.7440147329650092,0.7897713004901368,0.40922694415028316,0.7665516833440503,8888,22604,3058,84917,119467,11946,31492,1,42,1.25,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,0.8762106537530266,0.44059521041618227,0.8824214202561118,0.8755206042890032,0.5877335814530511,0.8789642399439191,3790,4812,505,33845,42952,4295,8602,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,0.8160077678354692,0.3146951287070207,0.7132931525196718,0.8274197598608644,0.4367168080362863,0.7682400985162293,8521,18556,3425,88965,119467,11946,27077,1,42,1.75,refine
