schema_version,sweep_id,run_id,candidate_id,experiment_family,detector_family,dataset_name,dataset_granularity,status,error,training_time_sec,n_train,n_eval_prices,n_eval_products,combined_precision,combined_recall,combined_f1,stage,attempt_count,weighted_f1_mean,rank_score,default_distance,threshold,w
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_3p000__w_0p800,hybrid_weighted__threshold_3p000__w_0p800,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.004378699930384755,0,0,0,,,,coarse,0,,,0.25,3.0,0.8
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p300,hybrid_weighted__threshold_4p000__w_0p300,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.004485300043597817,0,0,0,,,,coarse,0,,,0.30000000000000004,4.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p400,hybrid_weighted__threshold_4p000__w_0p400,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0031676001381129026,0,0,0,,,,coarse,0,,,0.25,4.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p500,hybrid_weighted__threshold_4p000__w_0p500,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0036624001804739237,0,0,0,,,,coarse,0,,,0.2,4.0,0.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p600,hybrid_weighted__threshold_4p000__w_0p600,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.003382100025191903,0,0,0,,,,coarse,0,,,0.25,4.0,0.6
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p700,hybrid_weighted__threshold_4p000__w_0p700,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.003838200122117996,0,0,0,,,,coarse,0,,,0.3,4.0,0.7
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_4p000__w_0p800,hybrid_weighted__threshold_4p000__w_0p800,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.003666199976578355,0,0,0,,,,coarse,0,,,0.35000000000000003,4.0,0.8
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p300,hybrid_weighted__threshold_5p000__w_0p300,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.004225400043651462,0,0,0,,,,coarse,0,,,0.4,5.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p400,hybrid_weighted__threshold_5p000__w_0p400,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.004392400151118636,0,0,0,,,,coarse,0,,,0.35,5.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p500,hybrid_weighted__threshold_5p000__w_0p500,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0036315000616014004,0,0,0,,,,coarse,0,,,0.3,5.0,0.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p600,hybrid_weighted__threshold_5p000__w_0p600,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.003520399797707796,0,0,0,,,,coarse,0,,,0.35,5.0,0.6
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p700,hybrid_weighted__threshold_5p000__w_0p700,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0034885001368820667,0,0,0,,,,coarse,0,,,0.39999999999999997,5.0,0.7
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_5p000__w_0p800,hybrid_weighted__threshold_5p000__w_0p800,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0035522999241948128,0,0,0,,,,coarse,0,,,0.45,5.0,0.8
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_6p000__w_0p300,hybrid_weighted__threshold_6p000__w_0p300,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.003747300012037158,0,0,0,,,,coarse,0,,,0.5,6.0,0.3
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_6p000__w_0p400,hybrid_weighted__threshold_6p000__w_0p400,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.003966799937188625,0,0,0,,,,coarse,0,,,0.45,6.0,0.4
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_6p000__w_0p500,hybrid_weighted__threshold_6p000__w_0p500,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0031835997942835093,0,0,0,,,,coarse,0,,,0.4,6.0,0.5
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_6p000__w_0p600,hybrid_weighted__threshold_6p000__w_0p600,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0037370999343693256,0,0,0,,,,coarse,0,,,0.45,6.0,0.6
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_6p000__w_0p700,hybrid_weighted__threshold_6p000__w_0p700,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0034800998400896788,0,0,0,,,,coarse,0,,,0.5,6.0,0.7
phase2.v1,1-6coarse_grid_single_attempt_batch,hybrid_weighted__threshold_6p000__w_0p800,hybrid_weighted__threshold_6p000__w_0p800,tuning,hybrid_weighted,COMPETITOR_3_COUNTRY_4,by_competitor,error,'run_id',0.0036703001242130995,0,0,0,,,,coarse,0,,,0.55,6.0,0.8
