run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_2p000__w_0p500__attempt_01,hybrid_weighted__threshold_2p000__w_0p500,new_products,hybrid_weighted,0.7800244094093257,0.20820185853854245,0.42802527892642583,0.8191351817267634,0.2801378731785603,0.5921237747608573,38402,146044,51317,661432,897195,89719,184446,1,42,2.0,0.5,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_prices,hybrid_weighted,0.8180803400377025,0.20255606462503015,0.2789414529477879,0.8779836407086378,0.2346898204364973,0.49487981612069815,10920,42991,28228,309347,391486,39148,53911,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_products,hybrid_weighted,0.780763379198502,0.20886106953326983,0.4277020475038732,0.8199921731419881,0.2806644139202176,0.5922097022085833,38373,145352,51346,662124,897195,89719,183725,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_prices,hybrid_weighted,0.8192017083624957,0.2041083589014443,0.27868601205681004,0.8792579852300916,0.23563714902807775,0.4950120215438003,10910,42542,28238,309796,391486,39148,53452,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_products,hybrid_weighted,0.7812827757622367,0.20930968794860458,0.42741225381468806,0.8206014791770901,0.2810065732103207,0.5922289487172566,38347,144860,51372,662616,897195,89719,183207,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p800__attempt_01,hybrid_weighted__threshold_2p000__w_0p800,new_prices,hybrid_weighted,0.8202668805525613,0.20562439880043004,0.2784816593440278,0.8804642133405991,0.23657057298165288,0.4951698043339518,10902,42117,28246,310221,391486,39148,53019,1,42,2.0,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p800__attempt_01,hybrid_weighted__threshold_2p000__w_0p800,new_products,hybrid_weighted,0.7818032869108722,0.20977153053740133,0.4271558978588705,0.8212083083583909,0.2813668951188086,0.5922701852077248,38324,144370,51395,663106,897195,89719,182694,1,42,2.0,0.8,coarse
hybrid_weighted__threshold_3p000__w_0p300__attempt_01,hybrid_weighted__threshold_3p000__w_0p300,new_prices,hybrid_weighted,0.8404029773733926,0.23955170566172532,0.27408807601920915,0.9033257837644535,0.255658803907553,0.49758499383577,10730,34062,28418,318276,391486,39148,44792,1,42,3.0,0.3,coarse
hybrid_weighted__threshold_3p000__w_0p300__attempt_01,hybrid_weighted__threshold_3p000__w_0p300,new_products,hybrid_weighted,0.8171144511505303,0.24886361333810628,0.4106822412198085,0.8622733059558426,0.3099219433416325,0.5950801070729546,36846,111211,52873,696265,897195,89719,148057,1,42,3.0,0.3,coarse
hybrid_weighted__threshold_3p000__w_0p400__attempt_01,hybrid_weighted__threshold_3p000__w_0p400,new_prices,hybrid_weighted,0.8413097786383166,0.24122085820475278,0.2735516501481557,0.9043929408692789,0.2563709706378751,0.4973913764402582,10709,33686,28439,318652,391486,39148,44395,1,42,3.0,0.4,coarse
