run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,threshold,w,stage
hybrid_weighted__threshold_1p500__w_0p500__attempt_01,hybrid_weighted__threshold_1p500__w_0p500,new_products,hybrid_weighted,0.6386888020948133,0.18056603366887247,0.7385822606242285,0.6275898551150557,0.2901879276002425,0.6808279767574992,16754,76032,5930,128130,226846,22684,92786,1,42,1.5,0.5,coarse
hybrid_weighted__threshold_1p500__w_0p600__attempt_01,hybrid_weighted__threshold_1p500__w_0p600,new_prices,hybrid_weighted,0.6473436911279062,0.1977570390794846,0.8266651889615427,0.6274210429107924,0.31916304743159113,0.7201854865215616,7459,30259,1564,50956,90238,9023,37718,1,42,1.5,0.6,coarse
hybrid_weighted__threshold_1p500__w_0p600__attempt_01,hybrid_weighted__threshold_1p500__w_0p600,new_products,hybrid_weighted,0.6394029429657124,0.18084738808387502,0.7383618409451596,0.6284078329953664,0.29053409426009125,0.6811698499161697,16749,75865,5935,128297,226846,22684,92614,1,42,1.5,0.6,coarse
hybrid_weighted__threshold_1p500__w_0p700__attempt_01,hybrid_weighted__threshold_1p500__w_0p700,new_prices,hybrid_weighted,0.6525188944790443,0.20007520614541646,0.8255569101185858,0.633294342178169,0.32209106239460367,0.7230632892936769,7449,29782,1574,51433,90238,9023,37231,1,42,1.5,0.7,coarse
hybrid_weighted__threshold_1p500__w_0p700__attempt_01,hybrid_weighted__threshold_1p500__w_0p700,new_products,hybrid_weighted,0.6441726986590022,0.18290897169708228,0.7378769176512079,0.6337614247509331,0.29315025307809517,0.6838405710554591,16738,74772,5946,129390,226846,22684,91510,1,42,1.5,0.7,coarse
hybrid_weighted__threshold_1p500__w_0p800__attempt_01,hybrid_weighted__threshold_1p500__w_0p800,new_prices,hybrid_weighted,0.6683104678738447,0.20785826067516208,0.8243378033913332,0.6509758049621376,0.33200169616354586,0.7325462204689841,7438,28346,1585,52869,90238,9023,35784,1,42,1.5,0.8,coarse
hybrid_weighted__threshold_1p500__w_0p800__attempt_01,hybrid_weighted__threshold_1p500__w_0p800,new_products,hybrid_weighted,0.6503971857559754,0.18567780615077162,0.7372597425498149,0.6407460741959816,0.2966457952711212,0.6873109090517434,16724,73346,5960,130816,226846,22684,90070,1,42,1.5,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_prices,hybrid_weighted,0.707130033910326,0.229458762085367,0.818020613986479,0.6948100720310287,0.3583879582422918,0.7539024882083968,7381,24786,1642,56429,90238,9023,32167,1,42,2.0,0.3,coarse
hybrid_weighted__threshold_2p000__w_0p300__attempt_01,hybrid_weighted__threshold_2p000__w_0p300,new_products,hybrid_weighted,0.6849536690089312,0.20216857760357523,0.7298977252689121,0.679960031739501,0.31663495281169624,0.704486536734691,16557,65340,6127,138822,226846,22684,81897,1,42,2.0,0.3,coarse
hybrid_weighted__threshold_2p000__w_0p400__attempt_01,hybrid_weighted__threshold_2p000__w_0p400,new_prices,hybrid_weighted,0.7100334670537911,0.2311913946122244,0.8170231630278177,0.6981468940466663,0.3604008799804449,0.7552497491770879,7372,24515,1651,56700,90238,9023,31887,1,42,2.0,0.4,coarse
hybrid_weighted__threshold_2p000__w_0p400__attempt_01,hybrid_weighted__threshold_2p000__w_0p400,new_products,hybrid_weighted,0.6858485492360455,0.2025690005632699,0.7292805501675189,0.681022913176791,0.3170675610924772,0.7047387918926108,16543,65123,6141,139039,226846,22684,81666,1,42,2.0,0.4,coarse
hybrid_weighted__threshold_2p000__w_0p500__attempt_01,hybrid_weighted__threshold_2p000__w_0p500,new_prices,hybrid_weighted,0.7138345264744342,0.23346871430384566,0.8154715726476781,0.7025426337499231,0.3630084609881842,0.756903921509257,7358,24158,1665,57057,90238,9023,31516,1,42,2.0,0.5,coarse
hybrid_weighted__threshold_2p000__w_0p500__attempt_01,hybrid_weighted__threshold_2p000__w_0p500,new_products,hybrid_weighted,0.687431120672174,0.20336856091829578,0.7287074590019397,0.6828449956407167,0.3179916317991632,0.7054036019652418,16530,64751,6154,139411,226846,22684,81281,1,42,2.0,0.5,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_prices,hybrid_weighted,0.717835058401117,0.2359875373398002,0.8142524659204255,0.7071230683986949,0.3659229006873195,0.7587995138064172,7347,23786,1676,57429,90238,9023,31133,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p600__attempt_01,hybrid_weighted__threshold_2p000__w_0p600,new_products,hybrid_weighted,0.6890401417701877,0.20410308411446096,0.727605360606595,0.6847552433851549,0.31878319652341863,0.7058552158839038,16505,64361,6179,139801,226846,22684,80866,1,42,2.0,0.6,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_prices,hybrid_weighted,0.7220793900574037,0.23863784346920172,0.8123683918873988,0.7120482669457613,0.3689071189511563,0.7605560502454355,7330,23386,1693,57829,90238,9023,30716,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p700__attempt_01,hybrid_weighted__threshold_2p000__w_0p700,new_products,hybrid_weighted,0.6898644895656084,0.20445893833620593,0.7269000176335744,0.6857495518264908,0.3191491420774017,0.7060250429799866,16489,64158,6195,140004,226846,22684,80647,1,42,2.0,0.7,coarse
hybrid_weighted__threshold_2p000__w_0p800__attempt_01,hybrid_weighted__threshold_2p000__w_0p800,new_prices,hybrid_weighted,0.7255479953013143,0.2408047680200204,0.8104843178543721,0.7161115557470911,0.37129366368805844,0.7618380311899073,7313,23056,1710,58159,90238,9023,30369,1,42,2.0,0.8,coarse
hybrid_weighted__threshold_2p000__w_0p800__attempt_01,hybrid_weighted__threshold_2p000__w_0p800,new_products,hybrid_weighted,0.6906447545912204,0.20478392759460937,0.7261505907247399,0.6866997776275703,0.3194724592707525,0.706149735661501,16472,63964,6212,140198,226846,22684,80436,1,42,2.0,0.8,coarse
hybrid_weighted__threshold_2p500__w_0p300__attempt_01,hybrid_weighted__threshold_2p500__w_0p300,new_prices,hybrid_weighted,0.7544382632593808,0.26240775575170017,0.8039454726809265,0.7489380040632888,0.3956691302806338,0.7759544559349926,7254,20390,1769,60825,90238,9023,27644,1,42,2.5,0.3,coarse
hybrid_weighted__threshold_2p500__w_0p300__attempt_01,hybrid_weighted__threshold_2p500__w_0p300,new_products,hybrid_weighted,0.7284765876409547,0.2280390292999329,0.7191412449303474,0.7295138174586848,0.3462746762895351,0.7243089636896183,16313,55223,6371,148939,226846,22684,71536,1,42,2.5,0.3,coarse
hybrid_weighted__threshold_2p500__w_0p400__attempt_01,hybrid_weighted__threshold_2p500__w_0p400,new_prices,hybrid_weighted,0.7581395864270042,0.2653936372965841,0.8025047101850825,0.7532106138028689,0.39887624975899966,0.7774670831219799,7241,20043,1782,61172,90238,9023,27284,1,42,2.5,0.4,coarse
hybrid_weighted__threshold_2p500__w_0p400__attempt_01,hybrid_weighted__threshold_2p500__w_0p400,new_products,hybrid_weighted,0.7304294543434753,0.22933055629828733,0.718391818021513,0.731766930182894,0.3476739596556543,0.725048533094241,16296,54763,6388,149399,226846,22684,71059,1,42,2.5,0.4,coarse
hybrid_weighted__threshold_2p500__w_0p500__attempt_01,hybrid_weighted__threshold_2p500__w_0p500,new_prices,hybrid_weighted,0.7628050267071522,0.26919205100480964,0.8001773246148731,0.7586529581973773,0.40285682401517686,0.7791385591802888,7220,19601,1803,61614,90238,9023,26821,1,42,2.5,0.5,coarse
hybrid_weighted__threshold_2p500__w_0p500__attempt_01,hybrid_weighted__threshold_2p500__w_0p500,new_products,hybrid_weighted,0.7322015816897808,0.23041402852731624,0.717113383882913,0.7338779988440552,0.34876665630393533,0.725447265559862,16267,54332,6417,149830,226846,22684,70599,1,42,2.5,0.5,coarse
hybrid_weighted__threshold_2p500__w_0p600__attempt_01,hybrid_weighted__threshold_2p500__w_0p600,new_prices,hybrid_weighted,0.7701855094306168,0.2757379685286573,0.7981824226975507,0.767075047712861,0.40987991577030325,0.7824741656912966,7202,18917,1821,62298,90238,9023,26119,1,42,2.5,0.6,coarse
hybrid_weighted__threshold_2p500__w_0p600__attempt_01,hybrid_weighted__threshold_2p500__w_0p600,new_products,hybrid_weighted,0.7396956525572415,0.2360915569618416,0.7170692999470992,0.7422096178524897,0.35522652078487893,0.7295311721150022,16266,52631,6418,151531,226846,22684,68897,1,42,2.5,0.6,coarse
hybrid_weighted__threshold_2p500__w_0p700__attempt_01,hybrid_weighted__threshold_2p500__w_0p700,new_prices,hybrid_weighted,0.7731332697976462,0.2782147146565418,0.7958550371273413,0.7706088776703811,0.41229832921857956,0.7831302298781602,7181,18630,1842,62585,90238,9023,25811,1,42,2.5,0.7,coarse
hybrid_weighted__threshold_2p500__w_0p700__attempt_01,hybrid_weighted__threshold_2p500__w_0p700,new_products,hybrid_weighted,0.7413884309178914,0.23714623847581198,0.7155263621936166,0.7442619096599759,0.3562281211934992,0.7297527093051979,16231,52212,6453,151950,226846,22684,68443,1,42,2.5,0.7,coarse
hybrid_weighted__threshold_2p500__w_0p800__attempt_01,hybrid_weighted__threshold_2p500__w_0p800,new_prices,hybrid_weighted,0.7749285223520025,0.27969707616036227,0.7940817909786102,0.7728005910238257,0.41368360277136257,0.7833689280214834,7165,18452,1858,62763,90238,9023,25617,1,42,2.5,0.8,coarse
hybrid_weighted__threshold_2p500__w_0p800__attempt_01,hybrid_weighted__threshold_2p500__w_0p800,new_products,hybrid_weighted,0.7409520114967864,0.23652694610778444,0.7139393405043202,0.7439533311781821,0.3553327336156395,0.7287918431399623,16195,52275,6489,151887,226846,22684,68470,1,42,2.5,0.8,coarse
hybrid_weighted__threshold_3p000__w_0p300__attempt_01,hybrid_weighted__threshold_3p000__w_0p300,new_prices,hybrid_weighted,0.7925596755247235,0.2974260404479358,0.7888728804167129,0.7929692790740627,0.4319830071309361,0.7909184276934759,7118,16814,1905,64401,90238,9023,23932,1,42,3.0,0.3,coarse
hybrid_weighted__threshold_3p000__w_0p300__attempt_01,hybrid_weighted__threshold_3p000__w_0p300,new_products,hybrid_weighted,0.7686800737063911,0.25901957612036886,0.7057838123787692,0.7756683418069964,0.3789618197741851,0.739901452507062,16010,45800,6674,158362,226846,22684,61810,1,42,3.0,0.3,coarse
hybrid_weighted__threshold_3p000__w_0p400__attempt_01,hybrid_weighted__threshold_3p000__w_0p400,new_prices,hybrid_weighted,0.7949865910148718,0.2998521647307286,0.7867671506150947,0.7958997722095672,0.43421616000978647,0.7913202865821931,7099,16576,1924,64639,90238,9023,23675,1,42,3.0,0.4,coarse
hybrid_weighted__threshold_3p000__w_0p400__attempt_01,hybrid_weighted__threshold_3p000__w_0p400,new_products,hybrid_weighted,0.7703816686210028,0.26041327162505706,0.7044612943043554,0.7777059394010638,0.38025889967637544,0.740178176291802,15980,45384,6704,158778,226846,22684,61364,1,42,3.0,0.4,coarse
hybrid_weighted__threshold_3p000__w_0p500__attempt_01,hybrid_weighted__threshold_3p000__w_0p500,new_prices,hybrid_weighted,0.7975464881757132,0.3023514322359983,0.7837747977391112,0.799076525272425,0.43636812390090396,0.791388679457488,7072,16318,1951,64897,90238,9023,23390,1,42,3.0,0.5,coarse
hybrid_weighted__threshold_3p000__w_0p500__attempt_01,hybrid_weighted__threshold_3p000__w_0p500,new_products,hybrid_weighted,0.7722463697839063,0.26203340285418686,0.7034032798448245,0.7798953772004584,0.38182753628390587,0.7406625184647992,15956,44937,6728,159225,226846,22684,60893,1,42,3.0,0.5,coarse
hybrid_weighted__threshold_3p000__w_0p600__attempt_01,hybrid_weighted__threshold_3p000__w_0p600,new_prices,hybrid_weighted,0.7986879141824952,0.30318164205450554,0.7804499612102405,0.8007141537893246,0.4367131782945737,0.7905171283820287,7042,16185,1981,65030,90238,9023,23227,1,42,3.0,0.6,coarse
hybrid_weighted__threshold_3p000__w_0p600__attempt_01,hybrid_weighted__threshold_3p000__w_0p600,new_products,hybrid_weighted,0.7709811942903997,0.260592873736217,0.7022130135778523,0.7786218787041663,0.38012170385395533,0.7394311434356154,15929,45197,6755,158965,226846,22684,61126,1,42,3.0,0.6,coarse
hybrid_weighted__threshold_3p000__w_0p700__attempt_01,hybrid_weighted__threshold_3p000__w_0p700,new_prices,hybrid_weighted,0.8011259114785345,0.3056584048438385,0.7776792641028483,0.8037308378994028,0.4388367729831145,0.7905977526874037,7017,15940,2006,65275,90238,9023,22957,1,42,3.0,0.7,coarse
hybrid_weighted__threshold_3p000__w_0p700__attempt_01,hybrid_weighted__threshold_3p000__w_0p700,new_products,hybrid_weighted,0.7730663093023461,0.26228804464477357,0.7003174043378593,0.7811492834121923,0.38164106136863224,0.7396299335205446,15886,44681,6798,159481,226846,22684,60567,1,42,3.0,0.7,coarse
hybrid_weighted__threshold_3p000__w_0p800__attempt_01,hybrid_weighted__threshold_3p000__w_0p800,new_prices,hybrid_weighted,0.8068330415124448,0.3122543765630582,0.7749085669954561,0.8103798559379425,0.44513767308610536,0.7924457665271833,6992,15400,2031,65815,90238,9023,22392,1,42,3.0,0.8,coarse
hybrid_weighted__threshold_3p000__w_0p800__attempt_01,hybrid_weighted__threshold_3p000__w_0p800,new_products,hybrid_weighted,0.776764853689287,0.26572137302225796,0.6989067183918181,0.7854155033747711,0.38504881721474715,0.7408995694678997,15854,43810,6830,160352,226846,22684,59664,1,42,3.0,0.8,coarse
hybrid_weighted__threshold_2p500__w_0p750__attempt_01,hybrid_weighted__threshold_2p500__w_0p750,new_prices,hybrid_weighted,0.7738314235687848,0.2787751612652522,0.7950792419372714,0.7714707874161177,0.41280893057513596,0.7831860627178938,7174,18560,1849,62655,90238,9023,25734,1,42,2.5,0.75,refine
hybrid_weighted__threshold_2p500__w_0p750__attempt_01,hybrid_weighted__threshold_2p500__w_0p750,new_products,hybrid_weighted,0.7419438738174797,0.23746064289375413,0.714821019220596,0.744957435761797,0.3564950697490354,0.7297336729980394,16215,52070,6469,152092,226846,22684,68285,1,42,2.5,0.75,refine
hybrid_weighted__threshold_2p500__w_0p850__attempt_01,hybrid_weighted__threshold_2p500__w_0p850,new_prices,hybrid_weighted,0.776247257253042,0.2807616804083235,0.7925302005984706,0.7744382195407252,0.4146348534485258,0.7834319865079121,7151,18319,1872,62896,90238,9023,25470,1,42,2.5,0.85,refine
hybrid_weighted__threshold_2p500__w_0p850__attempt_01,hybrid_weighted__threshold_2p500__w_0p850,new_products,hybrid_weighted,0.741150383960925,0.2365284784675002,0.7130576617880444,0.7442717058022551,0.35522515894541506,0.7284975238628855,16175,52210,6509,151952,226846,22684,68385,1,42,2.5,0.85,refine
hybrid_weighted__threshold_2p500__w_0p900__attempt_01,hybrid_weighted__threshold_2p500__w_0p900,new_prices,hybrid_weighted,0.7778984463308141,0.28224180862416504,0.7914219217555137,0.7763959859631842,0.41609369537349955,0.7838729509647913,7141,18160,1882,63055,90238,9023,25301,1,42,2.5,0.9,refine
