run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.7466662845789394,0.2682412727745214,0.8874665647688192,0.7310231373381447,0.411964257998714,0.8054555186104371,9290,25343,1178,68877,104688,10468,34633,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.7311693623350065,0.23091510317281594,0.7244097415876557,0.7319204313069344,0.35019951828018836,0.7281554027168801,19483,64890,7412,177165,268950,26895,84373,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.7862792297111417,0.29945425144859183,0.8491593427588843,0.7792931437062195,0.44276748356246254,0.8134765231560639,8889,20795,1579,73425,104688,10468,29684,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.7674437627811861,0.2567845983817931,0.6997583193902213,0.7749643676024044,0.37570119577585687,0.7364019034880098,18820,54471,8075,187584,268950,26895,73291,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8159196851597127,0.3285953502862261,0.8060756591517004,0.8170133729569093,0.4668713862837857,0.8115260890088468,8438,17241,2030,76979,104688,10468,25679,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.796716861870236,0.28290296361135425,0.6729503625209147,0.8104686951312718,0.3983449065158301,0.7385155395795284,18099,45877,8796,196178,268950,26895,63976,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.8327315451627694,0.3477452548748325,0.7683416125334352,0.8398853746550626,0.47879274935262073,0.8033174236288662,8043,15086,2425,79134,104688,10468,23129,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.8130135712957799,0.2991879967725876,0.6480014872652909,0.8313482472991676,0.4093674394569328,0.7339720026576311,17428,40823,9467,201232,268950,26895,58251,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.8469738651994498,0.36734206250597345,0.734333205961024,0.8594884313309277,0.48971140982353323,0.7944500583835661,7687,13239,2781,80981,104688,10468,20926,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.8260791968767429,0.3142344564668947,0.6252091466815394,0.8483980913428766,0.41825236922617715,0.7283036775512853,16815,36696,10080,205359,268950,26895,53511,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,0.7668500687757909,0.28304177301873873,0.8686473060756591,0.7555402250053067,0.4269615438794196,0.8101222013268474,9093,23033,1375,71187,104688,10468,32126,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,0.7474697899237777,0.24166551216010276,0.7134411600669269,0.751250748796761,0.3610363708205543,0.732101909383324,19188,60211,7707,181844,268950,26895,79399,1,42,1.25,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,0.8003782668500687,0.31199077078376236,0.8267099732518151,0.7974527701125027,0.4530178505993823,0.8119496032693734,8654,19084,1814,75136,104688,10468,27738,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,0.7791076408254323,0.266005527088491,0.6871537460494516,0.7893247402449857,0.38353861638874764,0.7364695866828801,18481,50995,8414,191060,268950,26895,69476,1,42,1.75,refine
