run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,0.8641805731268952,0.4177055170568315,0.9090507460288773,0.8591949983600083,0.57239678826579,0.8837713812086504,45268,63105,4529,385068,497970,49797,108373,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,0.8044153866712108,0.24499260829179587,0.4591572778874327,0.8427772419918161,0.319506233924664,0.6220669612657792,37453,115421,44116,618703,815693,81569,152874,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,0.8822579673474306,0.45455293669818214,0.887262284876599,0.8817019320664119,0.6011374304412305,0.8844777390219363,44183,53018,5614,395155,497970,49797,97201,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,0.8270721950537764,0.2745047497024328,0.44389412644509557,0.8696473620260338,0.33922950082446407,0.6213142168676233,36208,95695,45361,638429,815693,81569,131903,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,0.8932124425166175,0.48112996873604286,0.8653131714761934,0.896312361521109,0.6184117051888315,0.8806763833447263,43090,46470,6707,401703,497970,49797,89560,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,0.8428980020669541,0.2996748554913295,0.4271107896382204,0.8890963924350654,0.35222039681536715,0.6162326364591816,34839,81417,46730,652707,815693,81569,116256,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,0.900379540936201,0.5011224211038923,0.847259875092877,0.9062817260299036,0.6297634151802374,0.8762740107951696,42191,42002,7606,406171,497970,49797,84193,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,0.8520950896967364,0.31592930358757915,0.41111206463239713,0.9010930033618298,0.35729011842546865,0.608646206788385,33534,72610,48035,661514,815693,81569,106144,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,0.9053336546378296,0.5166037358405642,0.8297487800469908,0.9137319740368117,0.6367594140808607,0.870728425369801,41319,38663,8478,409510,497970,49797,79982,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,0.859064623577743,0.3298547770700637,0.39680515882259193,0.9104265764366782,0.3602457511102207,0.6010507152140031,32367,65758,49202,668366,815693,81569,98125,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,0.8741570777356066,0.43713668825776447,0.8985280237765327,0.8714491948421703,0.5881409624459428,0.8848850336982685,44744,57613,5053,390560,497970,49797,102357,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,0.8160729588215174,0.2592472762823804,0.45187509960892003,0.8565392222567305,0.3294718117865794,0.6221324186828774,36859,105318,44710,628806,815693,81569,142177,1,42,1.25,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,0.8879832118400707,0.46792865411825235,0.8766391549691749,0.8892436626035035,0.6101657010671679,0.882918916405368,43654,49638,6143,398535,497970,49797,93292,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,0.83421826594074,0.28487924564610795,0.4355698856183109,0.8785123494123609,0.34446518166614154,0.6185899478231243,35529,89187,46040,644937,815693,81569,124716,1,42,1.75,refine
