mh_level,scope_id,scope_kind,scope_market,country,dataset_name,dataset_granularity,country_if_model_name,country_if_threshold,country_if_n_estimators,country_if_max_samples,country_if_max_features,country_if_contamination,country_if_config_source,train_path,test_new_prices_path,test_new_products_path
mh5,COMPETITOR_2_COUNTRY_4,competitor,B2C,COUNTRY_4,COMPETITOR_2_COUNTRY_4,competitor,COUNTRY_4_mh5,0.3,200,256,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\by_competitor\COUNTRY_4\B2C\COMPETITOR_2_COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\by_competitor\COUNTRY_4\B2C\COMPETITOR_2_COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\by_competitor\COUNTRY_4\B2C\COMPETITOR_2_COUNTRY_4_2026-02-08_test_new_products.parquet
mh5,COMPETITOR_3_COUNTRY_4,competitor,B2C,COUNTRY_4,COMPETITOR_3_COUNTRY_4,competitor,COUNTRY_4_mh5,0.3,200,256,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\by_competitor\COUNTRY_4\B2C\COMPETITOR_3_COUNTRY_4_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\by_competitor\COUNTRY_4\B2C\COMPETITOR_3_COUNTRY_4_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh5\by_competitor\COUNTRY_4\B2C\COMPETITOR_3_COUNTRY_4_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_1_COUNTRY_1,competitor,B2B,COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,COUNTRY_1_mh10,0.3,100,256,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2B\COMPETITOR_1_COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2B\COMPETITOR_1_COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2B\COMPETITOR_1_COUNTRY_1_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_2_COUNTRY_1,competitor,B2C,COUNTRY_1,COMPETITOR_2_COUNTRY_1,competitor,COUNTRY_1_mh10,0.3,100,256,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2C\COMPETITOR_2_COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2C\COMPETITOR_2_COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2C\COMPETITOR_2_COUNTRY_1_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_3_COUNTRY_1,competitor,B2C,COUNTRY_1,COMPETITOR_3_COUNTRY_1,competitor,COUNTRY_1_mh10,0.3,100,256,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2C\COMPETITOR_3_COUNTRY_1_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2C\COMPETITOR_3_COUNTRY_1_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_1\B2C\COMPETITOR_3_COUNTRY_1_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_1_COUNTRY_2,competitor,B2B,COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,COUNTRY_2_mh10,0.3,100,256,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2B\COMPETITOR_1_COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2B\COMPETITOR_1_COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2B\COMPETITOR_1_COUNTRY_2_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_2_COUNTRY_2,competitor,B2C,COUNTRY_2,COMPETITOR_2_COUNTRY_2,competitor,COUNTRY_2_mh10,0.3,100,256,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2C\COMPETITOR_2_COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2C\COMPETITOR_2_COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2C\COMPETITOR_2_COUNTRY_2_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_3_COUNTRY_2,competitor,B2C,COUNTRY_2,COMPETITOR_3_COUNTRY_2,competitor,COUNTRY_2_mh10,0.3,100,256,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2C\COMPETITOR_3_COUNTRY_2_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2C\COMPETITOR_3_COUNTRY_2_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_2\B2C\COMPETITOR_3_COUNTRY_2_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_1_COUNTRY_3,competitor,B2B,COUNTRY_3,COMPETITOR_1_COUNTRY_3,competitor,COUNTRY_3_mh10,0.3,200,256,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2B\COMPETITOR_1_COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2B\COMPETITOR_1_COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2B\COMPETITOR_1_COUNTRY_3_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_2_COUNTRY_3,competitor,B2C,COUNTRY_3,COMPETITOR_2_COUNTRY_3,competitor,COUNTRY_3_mh10,0.3,200,256,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2C\COMPETITOR_2_COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2C\COMPETITOR_2_COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2C\COMPETITOR_2_COUNTRY_3_2026-02-08_test_new_products.parquet
mh10,COMPETITOR_3_COUNTRY_3,competitor,B2C,COUNTRY_3,COMPETITOR_3_COUNTRY_3,competitor,COUNTRY_3_mh10,0.3,200,256,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\if\best_configuration.json,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2C\COMPETITOR_3_COUNTRY_3_2026-02-08_train.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2C\COMPETITOR_3_COUNTRY_3_2026-02-08_test_new_prices.parquet,C:\Users\Administrator\Desktop\dippa\src\data-subsets\mh10\by_competitor\COUNTRY_3\B2C\COMPETITOR_3_COUNTRY_3_2026-02-08_test_new_products.parquet
