mh_level,original_competitor_failure_reason,country_model_name,country_model_source,country_model_threshold,country_model_n_estimators,country_model_max_samples,country_model_max_features,country_model_contamination,new_prices_status,new_prices_message,new_prices_test_rows,new_prices_test_products,new_prices_matched_train_rows,new_prices_matched_train_products,new_prices_f1,new_prices_g_mean,new_prices_precision,new_prices_recall,new_products_status,new_products_message,new_products_test_rows,new_products_test_products,new_products_matched_train_rows,new_products_matched_train_products,new_products_f1,new_products_g_mean,new_products_precision,new_products_recall,status,combined_accuracy,combined_precision,combined_recall,combined_tnr,combined_fpr,combined_fnr,combined_f1,combined_g_mean
mh10,"Need at least 50 valid samples, got 20",COUNTRY_4_mh10,refit_from_best_country_configuration,0.36,100,512,0.75,auto,ok,evaluated,8,4,32,4,0.7333333333333333,0.9406560798180411,0.6,1.0,ok,evaluated,10,1,0,0,0.7,0.7,0.7,0.7,ok,0.879,0.63,0.9099999999999999,0.8733333333333333,0.12666666666666665,0.09,0.7233333333333333,0.8684592558726287
mh15,"Need at least 50 valid samples, got 0",COUNTRY_4_mh15,not_loaded_empty_test_split,0.36,100,512,0.75,auto,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,no_eval_rows,,,,,,,,
mh20,"Need at least 50 valid samples, got 0",COUNTRY_4_mh20,not_loaded_empty_test_split,0.36,100,512,0.75,auto,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,no_eval_rows,,,,,,,,
mh25,"Need at least 50 valid samples, got 0",COUNTRY_4_mh25,not_loaded_empty_test_split,0.36,100,512,0.75,auto,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,no_eval_rows,,,,,,,,
mh30,"Need at least 50 valid samples, got 0",COUNTRY_4_mh30,not_loaded_empty_test_split,0.36,100,512,0.75,auto,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,empty_test_split,No competitor-level evaluation rows remain after the minimum-history filter.,0,0,0,0,,,,,no_eval_rows,,,,,,,,
