run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridAvg,decimal_shift,38,30,0.7894736842105263
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridAvg,list_price_violation,36,33,0.9166666666666666
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridAvg,price_drop,32,29,0.90625
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridAvg,price_spike,39,35,0.8974358974358975
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridMax,decimal_shift,38,30,0.7894736842105263
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridMax,list_price_violation,36,33,0.9166666666666666
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridMax,price_drop,32,29,0.90625
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridMax,price_spike,39,35,0.8974358974358975
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridWeighted,decimal_shift,38,30,0.7894736842105263
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridWeighted,list_price_violation,36,33,0.9166666666666666
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridWeighted,price_drop,32,29,0.90625
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridWeighted,price_spike,39,35,0.8974358974358975
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,IQR,decimal_shift,38,35,0.9210526315789473
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,IQR,list_price_violation,36,31,0.8611111111111112
