run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridAvg,0.7627235213204951,0.27973568281938327,0.8758620689655172,0.7501909854851031,0.42404006677796324,0.8105947376255676,127,327,18,982,1454,145,454
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridMax,0.7489683631361761,0.2679324894514768,0.8758620689655172,0.7349121466768526,0.4103392568659128,0.8022977460371417,127,347,18,962,1454,145,474
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,HybridWeighted,0.7627235213204951,0.27973568281938327,0.8758620689655172,0.7501909854851031,0.42404006677796324,0.8105947376255676,127,327,18,982,1454,145,454
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,IQR,0.8500687757909215,0.38972809667673713,0.8896551724137931,0.8456837280366692,0.542016806722689,0.8673908593442764,129,202,16,1107,1454,145,331
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,ModifiedMAD,0.7640990371389271,0.2809734513274336,0.8758620689655172,0.7517188693659282,0.4254606365159129,0.8114197706509629,127,325,18,984,1454,145,452
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,ModifiedSN,0.7689133425034388,0.2853932584269663,0.8758620689655172,0.7570664629488159,0.43050847457627117,0.8143008035012343,127,318,18,991,1454,145,445
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,Threshold,0.9731774415405777,0.823170731707317,0.9310344827586207,0.9778456837280367,0.8737864077669902,0.9541530539528145,135,29,10,1280,1454,145,164
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_prices,Z-score,0.9649243466299863,0.7422680412371134,0.993103448275862,0.9618029029793735,0.8495575221238938,0.9773278771786622,144,50,1,1259,1454,145,194
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,HybridAvg,0.8690878378378378,0.3669064748201439,0.4322033898305085,0.9174484052532833,0.39688715953307396,0.6297017633332966,51,88,67,978,1184,118,139
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,HybridMax,0.8648648648648649,0.3541666666666667,0.4322033898305085,0.9127579737335835,0.3893129770992366,0.6280900336277284,51,93,67,973,1184,118,144
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,HybridWeighted,0.8690878378378378,0.3669064748201439,0.4322033898305085,0.9174484052532833,0.39688715953307396,0.6297017633332966,51,88,67,978,1184,118,139
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,IQR,0.9121621621621622,0.6129032258064516,0.3220338983050847,0.9774859287054409,0.4222222222222223,0.5610557941589939,38,24,80,1042,1184,118,62
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,ModifiedMAD,0.8690878378378378,0.3669064748201439,0.4322033898305085,0.9174484052532833,0.39688715953307396,0.6297017633332966,51,88,67,978,1184,118,139
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,ModifiedSN,0.8673986486486487,0.3617021276595745,0.4322033898305085,0.9155722326454033,0.3938223938223938,0.6290575669873388,51,90,67,976,1184,118,141
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,Threshold,0.9408783783783784,0.6846153846153846,0.7542372881355932,0.9615384615384616,0.7177419354838709,0.85160328890208,89,41,29,1025,1184,118,130
initial_country4_competitor3_expanded_statistical_baseline,expanded_statistical_baseline,new_products,Z-score,0.924831081081081,0.704225352112676,0.423728813559322,0.9803001876172608,0.5291005291005291,0.644500919651045,50,21,68,1045,1184,118,71
