run_id,candidate_id,dataset_split,detector_name,accuracy,precision,recall,tnr,f1,g_mean,tp,fp,fn,tn,n_rows,n_injected,n_predicted
hybrid_weighted__threshold_4p000__w_0p250,hybrid_weighted__threshold_4p000__w_0p250,new_prices,hybrid_weighted,0.8221671262118652,0.3270931094097308,0.7362686235267957,0.8317109326744905,0.45295666746468755,0.7825360461808992,6622,13623,2372,67327,89944,8994,20245
hybrid_weighted__threshold_4p000__w_0p250,hybrid_weighted__threshold_4p000__w_0p250,new_products,hybrid_weighted,0.773273213359403,0.26285993564941146,0.7023615192077484,0.7811522587302099,0.3825499377630253,0.740709988574688,19362,54297,8205,193807,275671,27567,73659
