granularity,granularity_label,mean_combined_f1,mean_combined_g_mean,mean_training_time_sec,mean_scope_count,min_scope_count,max_scope_count,best_f1_mh_level,best_f1_mh_value,best_combined_f1,g_mean_at_best_f1,training_time_at_best_f1_sec,scope_count_at_best_f1,best_g_mh_level,best_g_mh_value,best_combined_g_mean,f1_at_best_g_mean,training_time_at_best_g_mean_sec,scope_count_at_best_g_mean
global,Global,0.5934094593572646,0.8763659539929539,35.021429,1.0,1,1,mh30,30,0.6326146450526466,0.910537577482613,25.670699,1,mh30,30,0.910537577482613,0.6326146450526466,25.670699,1
by_country,By country,0.6263738722633634,0.8901109544723255,9.837533666666667,4.0,4,4,mh30,30,0.662892833430966,0.9149670623389687,4.1102194999999995,4,mh30,30,0.9149670623389687,0.662892833430966,4.1102194999999995,4
by_competitor,By competitor,0.6689942776478542,0.9072787905650815,3.3277188244949496,11.166666666666666,11,12,mh30,30,0.7029479122163204,0.9224991799808553,2.1138446363636363,11,mh30,30,0.9224991799808553,0.7029479122163204,2.1138446363636363,11
