granularity,granularity_label,mh_value,mh_level,scope_count,average_combined_f1,average_combined_g_mean,average_training_time_sec
global,Global,5,mh5,1,0.5711319434939917,0.8486036044980119,48.289223
global,Global,10,mh10,1,0.5997389664153789,0.8601774040565197,46.225151
global,Global,15,mh15,1,0.569079855665243,0.8592322510641142,27.535913
global,Global,20,mh20,1,0.561937935863579,0.8752158789605078,44.36354
global,Global,25,mh25,1,0.6259534096527484,0.9044290078959576,18.044048
global,Global,30,mh30,1,0.6326146450526466,0.910537577482613,25.670699
by_country,By country,5,mh5,4,0.5782590816361625,0.862154791706411,15.671339
by_country,By country,10,mh10,4,0.6148960271453403,0.8762044578760062,13.306452499999999
by_country,By country,15,mh15,4,0.6292881831652164,0.8828366367799456,12.656599
by_country,By country,20,mh20,4,0.6202095705249362,0.891160845739028,6.96601275
by_country,By country,25,mh25,4,0.652697537677559,0.9133419323935932,6.31457925
by_country,By country,30,mh30,4,0.662892833430966,0.9149670623389687,4.1102194999999995
by_competitor,By competitor,5,mh5,12,0.6370238853500777,0.8886249095669486,4.872552583333333
by_competitor,By competitor,10,mh10,11,0.6563513046328503,0.9010664271012634,4.950125545454545
by_competitor,By competitor,15,mh15,11,0.66670476312454,0.9056797550713472,3.6465912727272727
by_competitor,By competitor,20,mh20,11,0.6701770315908229,0.9093158366934364,2.148056
by_competitor,By competitor,25,mh25,11,0.6807607689725148,0.9164866349766384,2.235142909090909
by_competitor,By competitor,30,mh30,11,0.7029479122163204,0.9224991799808553,2.1138446363636363
