mh_value,mh_level,granularity,granularity_label,scope_id,dataset_name,combined_f1,combined_g_mean,training_time_sec,best_threshold,best_config_key,n_estimators,max_samples,max_features,contamination,summary_path
10,mh10,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.6468278896557953,0.9099404975782341,0.696413,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.5858041492589648,0.8898013189354145,7.627054,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,0.6463075869761108,0.8731275514563039,5.143717,0.3,if__contamination_auto__max_features_1__max_samples_512__n_estimators_100,100.0,512.0,1.0,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,0.6925565985858371,0.9181354453107643,1.75654,0.36,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,0.6244782808400966,0.8999695933674844,3.011987,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,0.6598742364774624,0.8774023093342336,6.8746220000000005,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,0.6812907709689756,0.9102883077586634,3.348487,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,0.5801816532190905,0.8879929345148556,9.590598,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,0.6981280978500285,0.8995551248283207,5.521594,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,0.7416688992267895,0.9317702596847214,2.375979,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,0.6627461879022027,0.913747355344901,8.50439,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.7197932134411262,0.9333902712925846,0.395586,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.6000096913437537,0.8861063373591697,4.187597,0.36,if__contamination_auto__max_features_1__max_samples_256__n_estimators_200,200.0,256.0,1.0,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
