run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,extreme_outlier,4957,4957,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,list_price_violation,4926,4926,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,negative_price,5007,5007,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,price_drop,4885,3533,0.7232343909928353
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,price_noise,4854,1724,0.35517099299546767
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,price_spike,4953,4839,0.9769836462749849
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=10) -> IF,zero_price,4932,4932,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,currency_swap,4884,4884,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,decimal_shift,4937,4937,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,extreme_outlier,4957,4957,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,list_price_violation,4926,4926,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,negative_price,5007,5007,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,price_drop,4885,3553,0.7273285568065506
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,price_noise,4854,1797,0.37021013597033375
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,price_spike,4953,4843,0.9777912376337573
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_prices,Sanity -> Z-score (>=5) -> IF,zero_price,4932,4932,1.0
