sweep_id,run_id,candidate_id,schema_version,threshold,combined_accuracy,combined_precision,combined_recall,combined_tnr,combined_fpr,combined_fnr,combined_f1,combined_g_mean,split_count,weighted_row_count,default_distance,new_prices_accuracy_mean,new_prices_accuracy_std,new_prices_precision_mean,new_prices_precision_std,new_prices_recall_mean,new_prices_recall_std,new_prices_tnr_mean,new_prices_tnr_std,new_prices_fpr_mean,new_prices_fpr_std,new_prices_fnr_mean,new_prices_fnr_std,new_prices_f1_mean,new_prices_f1_std,new_prices_g_mean_mean,new_prices_g_mean_std,new_prices_true_positives_mean,new_prices_true_positives_std,new_prices_false_positives_mean,new_prices_false_positives_std,new_prices_false_negatives_mean,new_prices_false_negatives_std,new_prices_true_negatives_mean,new_prices_true_negatives_std,new_prices_n_rows_mean,new_prices_n_rows_std,new_prices_n_injected_mean,new_prices_n_injected_std,new_prices_n_predicted_mean,new_prices_n_predicted_std,new_products_accuracy_mean,new_products_accuracy_std,new_products_precision_mean,new_products_precision_std,new_products_recall_mean,new_products_recall_std,new_products_tnr_mean,new_products_tnr_std,new_products_fpr_mean,new_products_fpr_std,new_products_fnr_mean,new_products_fnr_std,new_products_f1_mean,new_products_f1_std,new_products_g_mean_mean,new_products_g_mean_std,new_products_true_positives_mean,new_products_true_positives_std,new_products_false_positives_mean,new_products_false_positives_std,new_products_false_negatives_mean,new_products_false_negatives_std,new_products_true_negatives_mean,new_products_true_negatives_std,new_products_n_rows_mean,new_products_n_rows_std,new_products_n_injected_mean,new_products_n_injected_std,new_products_n_predicted_mean,new_products_n_predicted_std,weighted_f1_mean,rank_score,config_key,is_baseline_config,training_time_sec,num_trees,tree_size,warmup_samples,experiment_family,detector_family,dataset_name,dataset_granularity,mh_level,scope_id,status,error,stage,model_name,n_train,n_eval_prices,n_eval_products,attempt_count,current_threshold,current_f1,improvement_pct,screening_threshold,screened_config_count,promoted_config_count,granularity,output_dir
single_config_optimized_mh5_run,rrcf_COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08_20260329T135749Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,phase2.v1,0.7250000000000001,0.7828702345894403,0.20800402196109963,0.4224925847324787,0.822906218007067,0.1770937819929329,0.5775074152675213,0.2773496527891972,0.5857972225722582,2,47727,1.575,0.7738184546136534,0.0,0.214683789677732,0.0,0.47481243301178994,0.0,0.8070373898547273,0.0,0.1929626101452727,0.0,0.5251875669882101,0.0,0.29567829133989654,0.0,0.6190245444313234,0.0,886.0,0.0,3241.0,0.0,980.0,0.0,13555.0,0.0,18662.0,0.0,1866.0,0.0,4127.0,0.0,0.8039910545329434,0.0,0.19241789728895747,0.0,0.30041293874741914,0.0,0.85993348369586,0.0,0.14006651630414008,0.0,0.6995870612525809,0.0,0.23458282950423218,0.0,0.5082668049011062,0.0,873.0,0.0,3664.0,0.0,2033.0,0.0,22495.0,0.0,29065.0,0.0,2906.0,0.0,4537.0,0.0,0.2773496527891972,0.5857972225722582,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,351.88321,80,128,32,tuning_forests,rrcf,COMPETITOR_1_COUNTRY_1,by_competitor,mh5,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,ok,,threshold_sweep,COMPETITOR_1_COUNTRY_1_mh5,99162,18662,29065,1,0.8,0.10824136515026367,156.23258945798838,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08_20260329T184007Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,phase2.v1,0.7250000000000001,0.6416657010054639,0.15968066634127337,0.598651031342752,0.6464454548309004,0.35355454516909957,0.4013489686572479,0.2502539270432015,0.6165942324693168,2,373638,1.575,0.6067457588262265,0.0,0.15505269544504618,0.0,0.6591517004203287,0.0,0.6009233708342178,0.0,0.39907662916578224,0.0,0.3408482995796714,0.0,0.2510505921519402,0.0,0.6293644903453725,0.0,6900.0,0.0,37601.0,0.0,3568.0,0.0,56619.0,0.0,104688.0,0.0,10468.0,0.0,44501.0,0.0,0.7231455660903514,0.0,0.1704792650991368,0.0,0.4574828034950734,0.0,0.75266365082316,0.0,0.24733634917683997,0.0,0.5425171965049266,0.0,0.24839504178947797,0.0,0.5867969640918538,0.0,12304.0,0.0,59869.0,0.0,14591.0,0.0,182186.0,0.0,268950.0,0.0,26895.0,0.0,72173.0,0.0,0.2502539270432015,0.6165942324693168,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,4381.412653,80,128,32,tuning_forests,rrcf,COMPETITOR_2_COUNTRY_1,by_competitor,mh5,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,ok,,threshold_sweep,COMPETITOR_2_COUNTRY_1_mh5,974118,104688,268950,1,0.8,0.28296872511377147,-11.561276977664775,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08_20260329T222854Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,phase2.v1,0.6499999999999999,0.6298514466319411,0.1294933945103292,0.47211589802518916,0.6473775649169029,0.35262243508309693,0.5278841019748107,0.20322672893218824,0.552767014891167,2,962347,1.6500000000000001,0.633384375,0.0,0.129336936404633,0.0,0.46515625,0.0,0.6520763888888889,0.0,0.3479236111111111,0.0,0.53484375,0.0,0.20239722069251528,0.0,0.5507425966539152,0.0,14885.0,0.0,100202.0,0.0,17115.0,0.0,187798.0,0.0,320000.0,0.0,32000.0,0.0,115087.0,0.0,0.6216079471064705,0.0,0.12985846342362034,0.0,0.4883550767506305,0.0,0.6364136423156027,0.0,0.36358635768439734,0.0,0.5116449232493695,0.0,0.2051622481580918,0.0,0.5574906574447543,0.0,31369.0,0.0,210194.0,0.0,32865.0,0.0,367919.0,0.0,642347.0,0.0,64234.0,0.0,241563.0,0.0,0.20322672893218824,0.552767014891167,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,9553.409917,80,128,32,tuning_forests,rrcf,COMPETITOR_3_COUNTRY_1,by_competitor,mh5,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,ok,,threshold_sweep,COMPETITOR_3_COUNTRY_1_mh5,2245954,320000,642347,1,0.8,0.14666593264207364,38.56437229233502,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08_20260329T200149Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,phase2.v1,0.6499999999999999,0.5602710001261442,0.14029573758629266,0.6573363448054341,0.5494865452157613,0.45051345478423854,0.3426636551945658,0.23115421434313893,0.600996888369915,2,219259,1.6500000000000001,0.5817940523265261,0.0,0.15001489425081918,0.0,0.6820151679306609,0.0,0.5706590430334035,0.0,0.42934095696659647,0.0,0.3179848320693391,0.0,0.24593446305611175,0.0,0.6238574541235978,0.0,5036.0,0.0,28534.0,0.0,2348.0,0.0,37926.0,0.0,73844.0,0.0,7384.0,0.0,33570.0,0.0,0.5100505449919197,0.0,0.11761770536906416,0.0,0.599752424179905,0.0,0.5000840503079298,0.0,0.49991594969207026,0.0,0.4002475758200949,0.0,0.19666696734620243,0.0,0.5476555682779884,0.0,8721.0,0.0,65426.0,0.0,5820.0,0.0,65448.0,0.0,145415.0,0.0,14541.0,0.0,74147.0,0.0,0.23115421434313893,0.600996888369915,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,1991.089546,80,128,32,tuning_forests,rrcf,COMPETITOR_1_COUNTRY_2,by_competitor,mh5,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,ok,,threshold_sweep,COMPETITOR_1_COUNTRY_2_mh5,507486,73844,145415,1,0.8,0.11006656963466221,110.01309944554112,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08_20260329T221803Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,phase2.v1,0.7250000000000001,0.7576204178704267,0.1839428575109389,0.4187722670408517,0.7952682844401029,0.20473171555989697,0.5812277329591482,0.2548053418471449,0.5740701252108433,2,339653,1.575,0.749082841941494,0.0,0.1906617849690957,0.0,0.46513638109873223,0.0,0.7806304287513072,0.0,0.21936957124869283,0.0,0.5348636189012678,0.0,0.27046044732359753,0.0,0.6025774743590526,0.0,4843.0,0.0,20558.0,0.0,5569.0,0.0,73156.0,0.0,104126.0,0.0,10412.0,0.0,25401.0,0.0,0.7775414283712695,0.0,0.16826536010857313,0.0,0.31058933423913043,0.0,0.8294232810472933,0.0,0.17057671895270668,0.0,0.6894106657608695,0.0,0.21827676240208876,0.0,0.5075529771983551,0.0,7315.0,0.0,36158.0,0.0,16237.0,0.0,175817.0,0.0,235527.0,0.0,23552.0,0.0,43473.0,0.0,0.2548053418471449,0.5740701252108433,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,3447.644228,80,128,32,tuning_forests,rrcf,COMPETITOR_2_COUNTRY_2,by_competitor,mh5,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,ok,,threshold_sweep,COMPETITOR_2_COUNTRY_2_mh5,836863,104126,235527,1,0.8,0.18419327109225014,38.33585794756305,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08_20260330T021720Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,phase2.v1,0.7250000000000001,0.720064685671975,0.18904465742594784,0.5579771192793873,0.738074165362412,0.261925834637588,0.4420228807206127,0.2822725953851719,0.6352137706263986,2,753528,1.575,0.7283125,0.0,0.21610756288625702,0.0,0.65346875,0.0,0.7366284722222223,0.0,0.2633715277777778,0.0,0.34653125,0.0,0.324800795265684,0.0,0.6938037813081342,0.0,20911.0,0.0,75851.0,0.0,11089.0,0.0,212149.0,0.0,320000.0,0.0,32000.0,0.0,96762.0,0.0,0.7008197855732502,0.0,0.12589787801855976,0.0,0.3351633142646245,0.0,0.741447449356188,0.0,0.258552550643812,0.0,0.6648366857353756,0.0,0.18304012899731045,0.0,0.498503745702349,0.0,14530.0,0.0,100881.0,0.0,28822.0,0.0,289295.0,0.0,433528.0,0.0,43352.0,0.0,115411.0,0.0,0.2822725953851719,0.6352137706263986,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,4883.812888,80,128,32,tuning_forests,rrcf,COMPETITOR_3_COUNTRY_2,by_competitor,mh5,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,ok,,threshold_sweep,COMPETITOR_3_COUNTRY_2_mh5,1414356,320000,433528,1,0.8,0.15569964173768813,81.29302818867434,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08_20260330T004915Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,phase2.v1,0.6499999999999999,0.5234770938097151,0.13598787153739356,0.6858833729894955,0.5054332051781651,0.49456679482183485,0.31411662701050447,0.22659039360114372,0.5878502395988491,2,317084,1.6500000000000001,0.5687847691659833,0.0,0.14903360653812733,0.0,0.7033137537404411,0.0,0.5538385766176199,0.0,0.44616142338238013,0.0,0.2966862462595589,0.0,0.24594992636229748,0.0,0.6241172071712181,0.0,6346.0,0.0,36235.0,0.0,2677.0,0.0,44980.0,0.0,90238.0,0.0,9023.0,0.0,42581.0,0.0,0.4177591846450896,0.0,0.10554782320234807,0.0,0.6452124845706224,0.0,0.3924873384861042,0.0,0.6075126615138958,0.0,0.35478751542937753,0.0,0.18141815049178497,0.0,0.5032273152633213,0.0,14636.0,0.0,124031.0,0.0,8048.0,0.0,80131.0,0.0,226846.0,0.0,22684.0,0.0,138667.0,0.0,0.22659039360114372,0.5878502395988491,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,3559.592273,80,128,32,tuning_forests,rrcf,COMPETITOR_1_COUNTRY_3,by_competitor,mh5,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,ok,,threshold_sweep,COMPETITOR_1_COUNTRY_3_mh5,809124,90238,226846,1,0.8,0.2800071023540867,-19.076912086820634,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08_20260330T035950Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,phase2.v1,0.6499999999999999,0.5168632223084894,0.13066873813357258,0.673903804126939,0.4994152474629753,0.5005847525370247,0.32609619587306093,0.21837049395871436,0.5765861526577024,2,425639,1.6500000000000001,0.4831335560358944,0.0,0.12773268991737954,0.0,0.7152214853025465,0.0,0.4573474159184156,0.0,0.5426525840815843,0.0,0.2847785146974535,0.0,0.21675475818258516,0.0,0.5719306759673332,0.0,8735.0,0.0,59650.0,0.0,3478.0,0.0,50273.0,0.0,122136.0,0.0,12213.0,0.0,68385.0,0.0,0.5955657769445442,0.0,0.13751951730468964,0.0,0.577495881383855,0.0,0.5975735210669478,0.0,0.40242647893305217,0.0,0.42250411861614495,0.0,0.2221405441030158,0.0,0.5874489316018974,0.0,17527.0,0.0,109924.0,0.0,12823.0,0.0,163229.0,0.0,303503.0,0.0,30350.0,0.0,127451.0,0.0,0.21837049395871436,0.5765861526577024,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,4936.16517,80,128,32,tuning_forests,rrcf,COMPETITOR_2_COUNTRY_3,by_competitor,mh5,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,ok,,threshold_sweep,COMPETITOR_2_COUNTRY_3_mh5,1083500,122136,303503,1,0.8,0.18294041612110332,19.36700407096317,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08_20260330T064757Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,phase2.v1,0.6499999999999999,0.5067607006821168,0.12909054023990024,0.6840535488749734,0.48706160100746254,0.5129383989925373,0.3159464511250265,0.2171850721029691,0.5771799536783971,2,791107,1.6500000000000001,0.5127125,0.0,0.13046848909880254,0.0,0.6836875,0.0,0.4937152777777778,0.0,0.5062847222222222,0.0,0.3163125,0.0,0.2191218300548856,0.0,0.5809879206796769,0.0,21878.0,0.0,145810.0,0.0,10122.0,0.0,142190.0,0.0,320000.0,0.0,32000.0,0.0,167688.0,0.0,0.49287316894038935,0.0,0.12587532623579484,0.0,0.6849076629165782,0.0,0.47153635521006043,0.0,0.5284636447899396,0.0,0.31509233708342177,0.0,0.21266597021516398,0.0,0.5682946973420779,0.0,32266.0,0.0,224067.0,0.0,14844.0,0.0,199930.0,0.0,471107.0,0.0,47110.0,0.0,256333.0,0.0,0.2171850721029691,0.5771799536783971,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,5755.972618,80,128,32,tuning_forests,rrcf,COMPETITOR_3_COUNTRY_3,by_competitor,mh5,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,ok,,threshold_sweep,COMPETITOR_3_COUNTRY_3_mh5,1564572,320000,471107,1,0.8,0.030685859799151418,607.7692250584262,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\rrcf
single_config_optimized_mh5_run,rrcf_COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08_20260330T044412Z,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,phase2.v1,0.7250000000000001,0.7018555752118752,0.1762295573033292,0.5476330727772118,0.718989995544733,0.2810100044552669,0.45236692722278804,0.26497588758071056,0.6204157928442562,2,108539,1.575,0.6821495766698025,0.0,0.18266678085124605,0.0,0.627168479858865,0.0,0.6882573901682182,0.0,0.3117426098317818,0.0,0.37283152014113496,0.0,0.2829287703939514,0.0,0.6570033037538177,0.0,2133.0,0.0,9544.0,0.0,1268.0,0.0,21071.0,0.0,34016.0,0.0,3401.0,0.0,11677.0,0.0,0.7478362384767119,0.0,0.1612093690248566,0.0,0.3620504562533548,0.0,0.7906994080899346,0.0,0.20930059191006545,0.0,0.6379495437466451,0.0,0.22308582768314864,0.0,0.5350449340552795,0.0,2698.0,0.0,14038.0,0.0,4754.0,0.0,53033.0,0.0,74523.0,0.0,7452.0,0.0,16736.0,0.0,0.26497588758071056,0.6204157928442562,rrcf__num_trees_80__tree_size_128__warmup_samples_32,False,1123.680493,80,128,32,tuning_forests,rrcf,COMPETITOR_1_COUNTRY_4,by_competitor,mh5,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,ok,,threshold_sweep,COMPETITOR_1_COUNTRY_4_mh5,257617,34016,74523,1,0.8,0.06934321880470368,282.12227835425597,,1,1,by_competitor,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\rrcf
