detector_combination,valid_scope_mh_evaluations,mean_recall,std_recall,min_recall,max_recall,scope_mean_recall_std
Sanity -> Z-score,68,0.8053070950860053,0.05687386399611573,0.6342786630640598,1.0,0.047486057938744795
Sanity -> IF,68,0.8724805134686217,0.052170697403891526,0.7349169732111313,1.0,0.03743559657371277
Sanity -> Z-score (>=10) -> IF,68,0.8843560174389269,0.0482715351192857,0.7443730905916828,1.0,0.03240726307036901
Sanity -> Z-score (>=5) -> IF,68,0.8897496481850052,0.04674874851638377,0.7467630982812727,1.0,0.03180610651474321
