scope_id,mh_level,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
COMPETITOR_1_COUNTRY_3,mh30,COMPETITOR_1_COUNTRY_3,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4399795426316943,0.8109345542687854,0.6658769829635444,0.8853248754506964,0.1146751245493035,0.1890654457312146,0.8812899927231261,12044.0,15330.0,2808.0,118352.0,14852.0,133682.0,27374.0
COMPETITOR_1_COUNTRY_3,mh5,COMPETITOR_1_COUNTRY_3,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4649432699676629,0.784495537263065,0.6415027255085668,0.8996940888719133,0.1003059111280867,0.215504462736935,0.8698800938208588,24874.0,28625.0,6833.0,256752.0,31707.0,285377.0,53499.0
COMPETITOR_1_COUNTRY_4,mh10,COMPETITOR_1_COUNTRY_4,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4137990463606595,0.8294564716720405,0.6504125560538115,0.8694589788529686,0.1305410211470313,0.1705435283279594,0.8842538193672994,7203.0,10204.0,1481.0,67963.0,8684.0,78167.0,17407.0
COMPETITOR_1_COUNTRY_4,mh15,COMPETITOR_1_COUNTRY_4,competitor,competitor,B2B,Sanity -> IF,combined,0.4712848297213622,0.8580890642615558,0.6697662709662178,0.8930416810196349,0.1069583189803651,0.1419109357384441,0.8959407425804404,6089.0,6831.0,1007.0,57035.0,7096.0,63866.0,12920.0
COMPETITOR_1_COUNTRY_4,mh20,COMPETITOR_1_COUNTRY_4,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3738041002277904,0.8416823388613438,0.6282613061686187,0.843352897601003,0.1566471023989971,0.1583176611386561,0.8856119012061389,4923.0,8247.0,926.0,44400.0,5849.0,52647.0,13170.0
COMPETITOR_1_COUNTRY_4,mh25,COMPETITOR_1_COUNTRY_4,competitor,competitor,B2B,Sanity -> IF,combined,0.4290619004342118,0.8733812949640288,0.6321569698888097,0.8709014521874143,0.1290985478125856,0.1266187050359712,0.8897236214401195,4249.0,5654.0,616.0,38142.0,4865.0,43796.0,9903.0
COMPETITOR_1_COUNTRY_4,mh30,COMPETITOR_1_COUNTRY_4,competitor,competitor,B2B,Sanity -> IF,combined,0.431721572794899,0.8717811158798283,0.6384736882548913,0.8725154215215901,0.1274845784784098,0.1282188841201716,0.8898029628219182,3250.0,4278.0,478.0,29279.0,3728.0,33557.0,7528.0
COMPETITOR_1_COUNTRY_4,mh5,COMPETITOR_1_COUNTRY_4,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4306880964339528,0.7901041186768636,0.6184470147567117,0.8839649489179616,0.1160350510820383,0.2098958813231364,0.8684582797273098,8575.0,11335.0,2278.0,86351.0,10853.0,97686.0,19910.0
COMPETITOR_2_COUNTRY_1,mh10,COMPETITOR_2_COUNTRY_1,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3856934173285857,0.7956493078444298,0.5739400421931482,0.8591995814805127,0.1408004185194873,0.2043506921555702,0.8550430280214167,25347.0,40371.0,6510.0,246354.0,31857.0,286725.0,65718.0
COMPETITOR_2_COUNTRY_1,mh15,COMPETITOR_2_COUNTRY_1,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3773226839169609,0.800371044525343,0.5643137816211334,0.8532480816424952,0.1467519183575048,0.1996289554746569,0.8543332181547503,22865.0,37733.0,5703.0,219388.0,28568.0,257121.0,60598.0
