detector_combination,valid_scope_mh_evaluations,unique_scopes,mean_precision,mean_recall,mean_f1_wc,mean_g_wc
Sanity -> Z-score,68,12,0.4587619499646211,0.8053070950860053,0.6576916252415284,0.8775751023727713
Sanity -> IF,68,12,0.3915047695271736,0.8724805134686217,0.5859539885579869,0.8430249674133399
Sanity -> Z-score (>=10) -> IF,68,12,0.35175389090409215,0.8843560174389269,0.5361666214933759,0.8334750292888939
Sanity -> Z-score (>=5) -> IF,68,12,0.3255754856609917,0.8897496481850052,0.5239387828965401,0.8290636509821699
