mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,extreme_outlier,0.06311433005690636,0.953125,0.1251360797570618,0.8114916206932445,0.18850837930675549,0.046875,0.8967835616478296,122.0,1811.0,6.0,7796.0,128.0,9607.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,extreme_outlier,0.045659676134855325,0.9068541300527241,0.09054923030278597,0.7713007337037194,0.2286992662962806,0.09314586994727592,0.8578242289168458,516.0,10785.0,53.0,36373.0,569.0,47158.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,negative_price,0.024434515498464118,1.0,0.04530361873408605,0.5114840062926062,0.4885159937073938,0.0,0.7215276113957486,350.0,13974.0,0.0,14631.0,350.0,28605.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,negative_price,0.02471590909090909,1.0,0.06407857777714447,0.5130266206440021,0.48697337935599794,0.0,0.781587984416507,261.0,10299.0,0.0,10850.0,261.0,21149.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,negative_price,0.03547671840354767,1.0,0.08135089388131941,0.6807144167839012,0.31928558321609884,0.0,0.8471344920313948,192.0,5220.0,0.0,11129.0,192.0,16349.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,negative_price,0.04537418974661167,1.0,0.09352730943416816,0.7523503783535886,0.24764962164641138,0.0,0.8820340844077308,154.0,3240.0,0.0,9843.0,154.0,13083.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,negative_price,0.061562338334195554,1.0,0.11461240815616713,0.8113560732113144,0.18864392678868552,0.0,0.9041859947287365,119.0,1814.0,0.0,7802.0,119.0,9616.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,negative_price,0.0519423059906203,1.0,0.09698924212543487,0.7727195587611371,0.22728044123886296,0.0,0.8789551588170647,587.0,10714.0,0.0,36426.0,587.0,47140.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_drop,0.01996648980731639,0.7428571428571429,0.045197519183236765,0.5086454322716136,0.4913545677283864,0.2571428571428571,0.6797348920931487,286.0,14038.0,99.0,14532.0,385.0,28570.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_drop,0.017613636363636363,0.7099236641221374,0.051906838772976034,0.5094571590694156,0.4905428409305845,0.2900763358778626,0.7340676771513754,186.0,10374.0,76.0,10774.0,262.0,21148.0,10560.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_drop,0.027900960827790096,0.7512437810945274,0.06850561330561332,0.6780293757649939,0.3219706242350061,0.24875621890547264,0.7911727694868284,151.0,5261.0,50.0,11079.0,201.0,16340.0,5412.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_drop,0.03741897466116677,0.7839506172839507,0.07940050789044077,0.7501338432122371,0.24986615678776292,0.21604938271604937,0.8043934142607676,127.0,3267.0,35.0,9808.0,162.0,13075.0,3394.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_drop,0.0512157268494568,0.7734375,0.10953546856465006,0.8090975330488186,0.19090246695118143,0.2265625,0.8077964145235372,99.0,1834.0,29.0,7773.0,128.0,9607.0,1933.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_drop,0.039554021767985136,0.7400662251655629,0.08151584002134235,0.7696666171508605,0.23033338284913948,0.2599337748344371,0.7890629416250345,447.0,10854.0,157.0,36269.0,604.0,47123.0,11301.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_noise,0.013753141580564088,0.5845697329376854,0.027232173675995702,0.5063596337969111,0.493640366203089,0.41543026706231456,0.5347572873466522,197.0,14127.0,140.0,14491.0,337.0,28618.0,14324.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,price_noise,0.01231060606060606,0.5220883534136547,0.027214134002259836,0.5071121402580219,0.4928878597419782,0.4779116465863454,0.5219155534642297,130.0,10430.0,119.0,10731.0,249.0,21161.0,10560.0
