mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.2474356290558928,0.8934240362811792,0.4421419884463362,0.6982541547758939,0.3017458452241061,0.1065759637188208,0.8287348847975999,1182.0,3595.0,141.0,8319.0,1323.0,11914.0,4777.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.4304190377651319,0.8550873586844809,0.6044169514922806,0.8743437571330747,0.1256562428669253,0.144912641315519,0.8831164221625403,832.0,1101.0,141.0,7661.0,973.0,8762.0,1933.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.3014145810663765,0.8540596094552929,0.5266665785123966,0.7801871718785666,0.2198128281214334,0.1459403905447071,0.8642186936916045,831.0,1926.0,142.0,6836.0,973.0,8762.0,2757.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.3127705627705627,0.8910585817060637,0.4792268195912379,0.7825838849577722,0.2174161150422278,0.1089414182939362,0.8513026833772127,867.0,1905.0,106.0,6857.0,973.0,8762.0,2772.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.2816404998397949,0.9033915724563206,0.4672087522176227,0.7441223464962338,0.2558776535037663,0.0966084275436793,0.8457051167093963,879.0,2242.0,94.0,6520.0,973.0,8762.0,3121.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score,combined,0.4794322512813773,0.7644593461860855,0.6299581912751939,0.9077872191828658,0.0922127808171342,0.2355406538139145,0.8561189377420301,3648.0,3961.0,1124.0,38994.0,4772.0,42955.0,7609.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> IF,combined,0.3524466861339704,0.8346605196982397,0.5091440437144825,0.8296356652310558,0.1703643347689442,0.1653394803017602,0.844554610605911,3983.0,7318.0,789.0,35637.0,4772.0,42955.0,11301.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=10) -> IF,combined,0.3286684671413372,0.8415758591785415,0.4867353976425227,0.8090327086485857,0.1909672913514142,0.1584241408214585,0.8382246189898803,4016.0,8203.0,756.0,34752.0,4772.0,42955.0,12219.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Sanity -> Z-score (>=5) -> IF,combined,0.3105461248943851,0.8472338642078793,0.4714124542955168,0.7910371318822023,0.2089628681177976,0.1527661357921207,0.8331756082790167,4043.0,8976.0,729.0,33979.0,4772.0,42955.0,13019.0
mh10,COMPETITOR_1_COUNTRY_2,COMPETITOR_1_COUNTRY_2,competitor,competitor,B2B,Sanity -> Z-score,combined,0.449438202247191,0.8004433224555139,0.6566147464936809,0.8910574778694469,0.1089425221305531,0.1995566775444861,0.8753882123461838,13000.0,15925.0,3241.0,130253.0,16241.0,146178.0,28925.0
